start,turn,ax,ay,crash,done,see_dx,see_dy,risk
True,False,7,8,0,0,-1,-1,True
True,True,7,7,0,0,-1,-1,True
True,False,7,7,0,0,-1,-1,True
True,True,6,7,0,0,-1,-1,True
True,False,6,7,0,0,-1,-1,True
True,True,5,7,0,0,-1,-1,True
True,False,5,7,0,0,-1,-1,False
True,True,5,8,0,0,-1,-1,True
True,False,5,8,0,0,-1,-1,False
True,True,4,8,0,0,-1,-1,False
True,False,4,8,0,0,-1,-1,False
True,True,4,8,0,0,-1,-1,False
True,False,4,8,0,0,-1,-1,False
True,True,4,8,0,0,-1,-1,False
True,False,4,8,0,0,-1,-1,False
True,True,5,8,0,0,-1,-1,False
True,False,5,8,0,0,-1,-1,False
True,True,5,8,0,0,-1,-1,False
True,False,5,8,0,0,-1,-1,False
True,True,6,8,0,0,-1,-1,False
True,False,6,8,0,0,-1,-1,False
True,True,6,8,0,0,-1,-1,False
True,False,6,8,0,0,-1,-1,False
True,True,5,8,0,0,-1,-1,False
True,False,5,8,0,0,-1,-1,False
True,True,4,8,0,0,-1,-1,False
True,False,4,8,0,0,-1,-1,False
True,True,4,8,0,0,-1,-1,False
True,False,4,8,0,0,1,5,False
True,True,4,8,0,0,1,5,False
True,False,4,8,0,0,2,5,False
True,True,4,8,0,0,2,5,False
True,False,4,8,0,0,2,6,False
True,True,3,8,0,0,2,6,False
True,False,3,8,0,0,2,6,False
True,True,2,8,0,0,2,6,False
True,False,2,8,0,0,2,5,False
True,True,3,8,0,0,2,5,False
True,False,3,8,0,0,-1,-1,False
True,True,3,8,0,0,-1,-1,False
True,False,3,8,0,0,-1,-1,False
True,True,4,8,0,0,-1,-1,False
True,False,4,8,0,0,-1,-1,False
True,True,4,7,0,0,3,4,False
True,False,4,7,0,0,2,4,False
True,True,4,6,0,0,2,4,False
True,False,4,6,0,0,3,4,False
True,True,4,5,0,0,3,4,False
True,False,4,5,0,0,2,4,False
True,True,4,4,0,0,2,4,False
True,False,4,4,0,0,3,4,False
True,True,4,5,0,0,3,4,False
True,False,4,5,0,0,2,4,False
True,True,4,4,0,0,2,4,False
True,False,4,4,0,0,1,4,False
True,True,4,3,0,0,1,4,False
True,False,4,3,0,0,1,3,False
True,True,5,3,0,0,-1,-1,False
True,False,5,3,0,0,-1,-1,False
True,True,5,2,0,0,-1,-1,False
True,False,5,2,0,0,-1,-1,False
True,True,6,2,0,0,-1,-1,False
True,False,6,2,0,0,-1,-1,False
True,True,5,2,0,0,-1,-1,False
True,False,5,2,0,0,2,2,False
True,True,5,3,0,0,2,2,False
True,False,5,3,0,0,3,2,False
True,True,5,4,0,0,3,2,False
True,False,5,4,0,0,2,2,False
True,True,5,5,0,0,2,2,False
True,False,5,5,0,0,-1,-1,False
True,True,6,5,0,0,-1,-1,False
True,False,6,5,0,0,-1,-1,False
True,True,6,4,0,0,-1,-1,False
True,False,6,4,0,0,-1,-1,False
True,True,6,5,0,0,-1,-1,False
True,False,6,5,0,0,-1,-1,False
True,True,5,5,0,0,-1,-1,False
True,False,5,5,0,0,2,3,False
