start,turn,ax,ay,crash,done,see_dx,see_dy,risk
True,False,7,8,0,0,-1,-1,0.0
True,True,7,7,0,0,-1,-1,0.0
True,False,7,7,0,0,-1,-1,0.0
True,True,7,8,0,0,-1,-1,0.0
True,False,7,8,0,0,-1,-1,0.0
True,True,7,8,0,0,-1,-1,0.0
True,False,7,8,0,0,-1,-1,0.0041046142578125
True,True,7,7,0,0,-1,-1,0.006561279296875
True,False,7,7,0,0,-1,-1,0.0352783203125
True,True,8,7,0,0,-1,-1,0.01324462890625
True,False,8,7,0,0,-1,-1,0.0411376953125
True,True,8,8,0,0,-1,-1,0.01263427734375
True,False,8,8,0,0,-1,-1,0.052978515625
True,True,7,8,0,0,-1,-1,0.080322265625
True,False,7,8,0,0,-1,-1,0.19287109375
True,True,7,7,0,0,-1,-1,0.2822265625
True,False,7,7,0,0,-1,-1,0.408203125
True,True,6,7,0,0,-1,-1,0.521484375
True,False,6,7,0,0,-1,-1,0.509765625
True,True,5,7,0,0,-1,-1,0.564453125
True,False,5,7,0,0,-1,-1,0.537109375
True,True,5,6,0,0,-1,-1,0.525390625
True,False,5,6,0,0,-1,-1,0.490234375
True,True,5,7,0,0,-1,-1,0.572265625
True,False,5,7,0,0,-1,-1,0.541015625
True,True,5,8,0,0,-1,-1,0.626953125
True,False,5,8,0,0,-1,-1,0.568359375
True,True,5,7,0,0,-1,-1,0.576171875
True,False,5,7,0,0,-1,-1,0.541015625
True,True,4,7,0,0,-1,-1,0.572265625
True,False,4,7,0,0,-1,-1,0.537109375
True,True,3,7,0,0,-1,-1,0.576171875
True,False,3,7,0,0,-1,-1,0.513671875
True,True,2,7,0,0,-1,-1,0.591796875
True,False,2,7,0,0,-1,-1,0.533203125
True,True,2,8,0,0,-1,-1,0.529296875
True,False,2,8,0,0,-1,-1,0.650390625
True,True,3,8,0,0,-1,-1,0.701171875
True,False,3,8,0,0,-1,-1,0.630859375
True,True,2,8,0,0,-1,-1,0.720703125
True,False,2,8,0,0,-1,-1,0.646484375
True,True,1,8,0,0,-1,-1,0.767578125
True,False,1,8,0,0,-1,-1,0.728515625
True,True,2,8,0,0,-1,-1,0.697265625
True,False,2,8,0,0,-1,-1,0.650390625
True,True,3,8,0,0,-1,-1,0.681640625
True,False,3,8,0,0,-1,-1,0.626953125
True,True,4,8,0,0,-1,-1,0.673828125
True,False,4,8,0,0,-1,-1,0.623046875
True,True,3,8,0,0,-1,-1,0.685546875
True,False,3,8,0,0,-1,-1,0.626953125
True,True,3,8,0,0,-1,-1,0.697265625
True,False,3,8,0,0,-1,-1,0.630859375
True,True,3,7,0,0,-1,-1,0.576171875
True,False,3,7,0,0,-1,-1,0.541015625
True,True,3,6,0,0,-1,-1,0.521484375
True,False,3,6,0,0,-1,-1,0.494140625
True,True,2,6,0,0,-1,-1,0.537109375
True,False,2,6,0,0,-1,-1,0.505859375
True,True,2,5,0,0,-1,-1,0.525390625
True,False,2,5,0,0,-1,-1,0.494140625
True,True,2,4,0,0,1,1,0.630859375
True,False,2,4,0,0,0,1,0.470703125
True,True,3,4,0,0,0,1,0.3603515625
True,False,3,4,0,0,0,1,0.3740234375
True,True,3,3,0,0,0,1,0.552734375
True,False,3,3,0,0,0,0,0.3740234375
True,True,2,3,0,0,0,0,0.564453125
True,False,2,3,0,0,0,0,0.482421875
True,True,2,2,0,0,0,0,0.666015625
True,False,2,2,0,0,0,1,0.740234375
True,True,3,2,0,0,0,1,0.658203125
True,False,3,2,0,0,0,1,0.642578125
True,True,2,2,0,0,0,1,0.82421875
True,False,2,2,0,0,0,1,0.740234375
True,True,3,2,0,0,0,1,0.658203125
True,False,3,2,0,0,0,1,0.642578125
True,True,4,2,0,0,-1,-1,0.541015625
True,False,4,2,0,0,-1,-1,0.498046875
True,True,5,2,0,0,-1,-1,0.408203125
True,False,5,2,0,0,-1,-1,0.529296875
True,True,5,1,0,0,-1,-1,0.587890625
True,False,5,1,0,0,-1,-1,0.537109375
True,True,5,1,0,0,-1,-1,0.619140625
True,False,5,1,0,0,2,0,0.556640625
True,True,4,1,0,0,2,0,0.78515625
True,False,4,1,0,0,2,0,0.701171875
True,True,5,1,0,0,2,0,0.615234375
True,False,5,1,0,0,2,1,0.705078125
True,True,4,1,0,0,2,1,0.88671875
True,False,4,1,0,0,3,1,0.92578125
True,True,5,1,0,0,3,1,0.89453125
True,False,5,1,0,0,2,1,0.705078125
True,True,4,1,0,0,2,1,0.88671875
True,False,4,1,0,0,3,1,0.92578125
True,True,4,2,0,0,3,1,0.86328125
True,False,4,2,0,0,3,0,0.716796875
True,True,4,3,0,0,3,0,0.623046875
True,False,4,3,0,0,3,0,0.615234375
True,True,5,3,0,0,3,0,0.552734375
True,False,5,3,0,0,3,0,0.455078125
True,True,5,4,0,0,-1,-1,0.3525390625
True,False,5,4,0,0,-1,-1,0.3896484375
True,True,6,4,0,0,-1,-1,0.3388671875
True,False,6,4,0,0,-1,-1,0.392578125
True,True,6,3,0,0,3,0,0.3720703125
True,False,6,3,0,0,3,1,0.470703125
True,True,7,3,0,0,-1,-1,0.408203125
True,False,7,3,0,0,-1,-1,0.482421875
True,True,6,3,0,0,-1,-1,0.3720703125
