start,turn,ax,ay,crash,done,see_dx,see_dy,risk
True,False,7,8,0,0,-1,-1,0.0
True,True,7,7,0,0,-1,-1,0.0
True,False,7,7,0,0,-1,-1,0.0
True,True,8,7,0,0,-1,-1,0.0
True,False,8,7,0,0,-1,-1,0.0
True,True,8,7,0,0,-1,-1,0.0
True,False,8,7,0,0,-1,-1,0.004092161473100148
True,True,8,6,0,0,-1,-1,0.007567492345812754
True,False,8,6,0,0,-1,-1,0.036704425702350565
True,True,7,6,0,0,-1,-1,0.08225994188577251
True,False,7,6,0,0,-1,-1,0.1447648196028574
True,True,7,5,0,0,-1,-1,0.25249035851977614
True,False,7,5,0,0,-1,-1,0.37954801101014557
True,True,7,6,0,0,-1,-1,0.2254237010429277
True,False,7,6,0,0,-1,-1,0.325821564304997
True,True,8,6,0,0,-1,-1,0.31604018096686504
True,False,8,6,0,0,-1,-1,0.37566253572452046
True,True,8,7,0,0,-1,-1,0.26709582034681423
True,False,8,7,0,0,-1,-1,0.40943597082210104
True,True,8,7,0,0,-1,-1,
