start,meter,ax,ay,fuelempty,fuelfull,risk
True,80,0,0,1,1,True
True,79,1,0,1,0,True
True,77,1,1,1,0,True
True,76,0,1,1,0,True
True,75,1,1,1,0,True
True,74,0,1,1,0,True
True,72,0,0,1,0,True
True,80,0,0,1,1,True
True,79,2,0,1,0,True
True,78,2,1,1,0,True
True,77,0,1,1,0,True
True,75,0,2,1,0,True
True,74,0,0,1,0,True
True,80,0,0,1,1,True
True,79,1,0,1,0,True
True,76,2,0,1,0,True
True,75,2,1,1,0,True
True,74,1,1,1,0,True
True,73,3,1,1,0,True
True,71,5,1,1,0,True
True,70,6,1,1,0,True
True,68,6,0,1,0,True
True,68,6,2,1,0,True
True,65,7,2,1,0,True
True,65,8,2,1,0,True
True,63,8,1,1,0,True
True,64,8,0,1,0,True
True,62,10,0,1,0,True
True,61,9,0,1,0,True
True,59,7,0,1,0,True
True,59,7,1,1,0,True
True,57,8,1,1,0,True
True,56,10,1,1,0,True
True,54,9,1,1,0,True
True,54,9,0,1,0,True
True,51,9,1,1,0,True
True,51,8,1,1,0,True
True,49,7,1,1,0,True
True,48,6,1,1,0,True
True,46,6,2,1,0,True
True,48,6,3,1,0,True
True,45,6,1,1,0,True
True,44,7,1,1,0,True
True,44,7,0,1,0,True
True,42,7,1,1,0,True
True,40,6,1,1,0,True
True,41,6,2,1,0,True
True,40,8,2,1,0,True
True,39,8,0,1,0,True
True,36,7,0,1,0,True
True,36,8,0,1,0,True
True,36,6,0,1,0,True
True,34,6,1,1,0,True
True,34,8,1,1,0,True
True,32,8,0,1,0,True
True,30,8,1,1,0,True
True,31,6,1,1,0,True
True,30,6,2,1,0,True
True,29,7,2,1,0,True
True,27,6,2,1,0,True
True,26,4,2,1,0,False
True,25,2,2,1,0,False
True,23,1,2,1,0,False
True,23,0,2,1,0,False
True,21,0,0,1,0,True
True,80,0,0,1,1,True
True,79,0,2,1,0,True
True,77,0,1,1,0,True
True,76,0,0,1,0,True
True,80,0,0,1,1,True
True,78,2,0,1,0,True
True,78,2,1,1,0,True
True,77,2,0,1,0,True
True,77,1,0,1,0,True
True,75,0,0,1,0,True
True,80,0,0,1,1,True
True,80,1,0,1,0,True
True,77,0,0,1,0,True
True,80,0,0,1,1,True
True,78,0,1,1,0,True
True,77,0,0,1,0,True
True,80,0,0,1,1,True
True,79,1,0,1,0,True
True,77,3,0,1,0,True
True,75,5,0,1,0,True
True,75,5,1,1,0,True
True,73,3,1,1,0,True
True,73,3,2,1,0,True
True,72,3,1,1,0,True
True,70,3,0,1,0,True
True,69,3,1,1,0,True
True,69,3,0,1,0,True
True,68,4,0,1,0,True
True,67,5,0,1,0,True
True,66,3,0,1,0,True
True,64,4,0,1,0,True
True,62,5,0,1,0,True
True,62,5,1,1,0,True
True,61,5,0,1,0,True
True,59,7,0,1,0,True
True,57,8,0,1,0,True
True,57,8,2,1,0,True
True,56,9,2,1,0,True
True,57,9,4,1,0,True
True,55,11,4,1,0,True
True,54,10,4,1,0,True
True,52,11,4,1,0,True
True,50,11,2,1,0,True
True,50,12,2,1,0,True
True,49,14,2,1,0,True
True,46,12,2,1,0,True
True,47,12,3,1,0,True
True,46,13,3,1,0,True
True,43,13,4,1,0,True
True,44,13,5,1,0,True
True,42,13,4,1,0,True
True,41,14,4,1,0,True
True,41,13,4,1,0,True
True,39,14,4,1,0,True
True,38,14,2,1,0,True
True,37,14,1,1,0,True
True,34,13,1,1,0,True
True,33,11,1,1,0,True
True,34,12,1,1,0,True
True,32,10,1,1,0,True
True,32,11,1,1,0,True
True,29,11,0,1,0,True
True,27,12,0,1,0,True
True,28,12,2,1,0,True
True,27,12,4,1,0,True
True,24,13,4,1,0,False
True,26,14,4,1,0,False
True,23,13,4,1,0,False
True,21,13,3,1,0,False
True,22,13,2,1,0,False
True,21,11,2,1,0,False
True,19,10,2,1,0,False
True,19,9,2,1,0,False
True,18,9,1,1,0,False
True,17,8,1,1,0,False
True,15,7,1,1,0,False
True,12,6,1,1,0,False
True,11,6,0,1,0,False
True,9,4,0,1,0,False
True,10,6,0,1,0,False
True,8,8,0,1,0,False
True,8,7,0,1,0,False
True,7,9,0,1,0,False
True,5,9,1,1,0,False
True,5,9,0,1,0,False
True,3,10,0,1,0,False
True,3,10,1,1,0,False
True,1,10,0,1,0,False
True,127,12,0,1,0,True
True,126,10,0,1,0,True
True,125,10,1,1,0,True
True,123,11,1,1,0,True
True,122,11,0,1,0,True
True,122,13,0,1,0,True
True,121,13,2,1,0,True
True,120,14,2,1,0,True
True,117,14,4,1,0,True
True,115,15,4,1,0,True
True,116,15,5,1,0,True
True,114,14,5,1,0,True
True,113,13,5,1,0,True
True,113,12,5,1,0,True
True,112,11,5,1,0,True
True,112,10,5,1,0,True
True,110,9,5,1,0,True
True,109,9,7,1,0,True
True,108,8,7,1,0,True
True,107,8,5,1,0,True
True,105,8,4,1,0,True
True,102,10,4,1,0,True
True,104,10,3,1,0,True
True,101,10,4,1,0,True
True,100,10,6,1,0,True
True,101,8,6,1,0,True
True,99,10,6,1,0,True
True,98,11,6,1,0,True
True,96,11,8,1,0,True
True,96,13,8,1,0,True
True,94,12,8,1,0,True
True,91,14,8,1,0,True
True,91,14,7,1,0,True
True,90,16,7,1,0,True
True,89,14,7,1,0,True
True,89,14,6,1,0,True
True,88,15,6,1,0,True
True,85,16,6,1,0,True
True,84,15,6,1,0,True
True,83,13,6,1,0,True
True,82,14,6,1,0,True
True,80,15,6,1,0,True
True,79,15,4,1,1,True
True,79,13,4,1,0,True
True,77,14,4,1,0,True
True,78,12,4,1,0,True
True,75,11,4,1,0,True
True,74,11,5,1,0,True
True,72,12,5,1,0,True
True,71,12,6,1,0,True
True,71,12,5,1,0,True
True,70,12,6,1,0,True
True,69,11,6,1,0,True
True,68,11,5,1,0,True
True,67,10,5,1,0,True
True,65,10,6,1,0,True
True,63,10,7,1,0,True
True,64,8,7,1,0,True
True,61,8,5,1,0,True
True,62,9,5,1,0,True
True,61,11,5,1,0,True
True,60,12,5,1,0,True
True,59,11,5,1,0,True
True,59,10,5,1,0,True
True,57,11,5,1,0,True
True,55,10,5,1,0,True
True,54,10,4,1,0,True
True,53,12,4,1,0,True
True,52,12,3,1,0,True
True,51,11,3,1,0,True
True,50,13,3,1,0,True
True,49,13,2,1,0,True
True,49,13,4,1,0,True
True,47,14,4,1,0,True
True,47,14,6,1,0,True
True,45,15,6,1,0,True
True,45,14,6,1,0,True
True,44,15,6,1,0,True
True,42,15,4,1,0,True
True,42,16,4,1,0,True
True,41,16,3,1,0,True
True,40,18,3,1,0,True
True,39,17,3,1,0,True
True,37,17,5,1,0,True
True,37,18,5,1,0,True
True,36,19,5,1,0,True
True,35,19,6,1,0,True
True,34,17,6,1,0,True
True,31,16,6,1,0,True
True,33,17,6,1,0,True
True,31,17,4,1,0,True
True,29,16,4,1,0,True
True,28,16,3,1,0,True
True,25,15,3,1,0,False
True,26,15,1,1,0,True
True,23,15,0,1,0,False
True,24,15,1,1,0,False
