start,meter,ax,ay,fuelempty,fuelfull,risk
True,80,0,0,1,1,0
True,79,0,1,1,0,0
True,76,0,2,1,0,0
True,76,1,2,1,0,0
True,74,2,2,1,0,0
True,73,2,3,1,0,0
True,73,2,2,1,0,0
True,70,2,3,1,0,0
True,70,2,2,1,0,0
True,69,2,0,1,0,0
True,69,3,0,1,0,0
True,66,3,1,1,0,0
True,66,3,0,1,0,0
True,65,3,1,1,0,0
True,64,4,1,1,0,0
True,63,4,0,1,0,0
True,63,3,0,1,0,0
True,62,5,0,1,0,0
True,60,6,0,1,0,0
True,58,8,0,1,0,0
True,58,6,0,1,0,0
True,56,5,0,1,0,0
True,56,5,2,1,0,0
True,54,7,2,1,0,0
True,52,8,2,1,0,0
True,51,8,4,1,0,0
True,50,6,4,1,0,0
True,50,5,4,1,0,0
True,48,4,4,1,0,0
True,47,3,4,1,0,0
True,46,5,4,1,0,0
True,46,5,3,1,0,0
True,45,5,1,1,0,0
True,44,4,1,1,0,0
True,43,4,0,1,0,0
True,41,2,0,1,0,1398745743095047881/978238074172590867513017161838233900
True,40,0,0,1,0,0
True,80,0,0,1,1,0
True,79,0,1,1,0,0
True,76,0,0,1,0,0
True,80,0,0,1,1,0
True,78,0,1,1,0,0
True,76,0,3,1,0,0
True,76,0,5,1,0,0
True,75,0,6,1,0,0
True,74,1,6,1,0,0
True,74,0,6,1,0,0
True,70,0,7,1,0,0
True,70,0,6,1,0,0
True,69,2,6,1,0,0
True,70,3,6,1,0,0
True,67,3,5,1,0,0
True,65,3,3,1,0,0
True,67,3,4,1,0,0
True,65,4,4,1,0,0
True,63,3,4,1,0,0
True,63,5,4,1,0,0
True,61,7,4,1,0,0
True,62,5,4,1,0,0
True,60,5,3,1,0,0
True,59,5,4,1,0,0
True,56,4,4,1,0,0
True,57,3,4,1,0,0
True,54,3,6,1,0,0
True,54,3,5,1,0,0
True,52,5,5,1,0,0
True,50,4,5,1,0,0
True,49,4,7,1,0,0
True,49,4,5,1,0,0
True,46,4,4,1,0,0
True,46,5,4,1,0,0
True,44,5,5,1,0,0
True,44,5,4,1,0,0
True,42,7,4,1,0,7735194451389635065/957323401282695054850570684931738361879
True,42,7,2,1,0,7735194451389635065/957323401282695054850570684931738361879
True,41,9,2,1,0,1406632794916079769/989299039094109816171181313005941100
True,39,9,1,1,0,158274989814301/25050633421840389605443815237
True,39,9,0,1,0,319055078330719/50897172818550574372156676480
True,36,9,1,1,0,301113802729/45334147646664929538816
True,37,9,0,1,0,1344862592176/1808643002279156815694967
True,34,10,0,1,0,387484454/150141691790499667
True,33,10,1,1,0,2303502/5306074253363
True,34,10,0,1,0,26971029/727430775667880
True,32,9,0,1,0,237722/56511091563
True,31,8,0,1,0,58271/1697732880
True,32,7,0,1,0,234615/55043712416
True,29,8,0,1,0,58271/1697732880
True,29,7,0,1,0,3145/2472726
True,27,5,0,1,0,287/13728
True,27,7,0,1,0,349/16240
True,25,8,0,1,0,877/6072
True,25,10,0,1,0,319/2120
True,22,9,0,1,0,2721/7316
True,22,9,1,1,0,3567/7952
True,21,9,2,1,0,707/1562
True,20,8,2,1,0,707/1562
True,19,9,2,1,0,707/1562
True,19,10,2,1,0,707/1562
True,17,9,2,1,0,707/1562
True,16,7,2,1,0,707/1562
True,16,7,1,1,0,707/1562
True,14,7,0,1,0,707/1562
True,13,8,0,1,0,707/1562
True,12,7,0,1,0,707/1562
True,11,9,0,1,0,707/1562
True,10,8,0,1,0,707/1562
True,9,8,2,1,0,707/1562
True,6,9,2,1,0,707/1562
True,5,9,3,1,0,707/1562
True,4,9,2,1,0,707/1562
True,4,11,2,1,0,707/1562
True,2,12,2,1,0,707/1562
True,0,14,2,1,0,707/1562
True,127,15,2,1,0,0
True,125,15,4,1,0,0
True,125,15,6,1,0,0
