start,meter,ax,ay,fuelempty,fuelfull,risk
True,80,0,0,1,1,True
True,78,0,2,1,0,True
True,77,1,2,1,0,True
True,76,0,2,1,0,True
True,77,0,3,1,0,True
True,74,0,2,1,0,True
True,74,1,2,1,0,True
True,72,1,1,1,0,True
True,70,0,1,1,0,True
True,69,0,2,1,0,True
True,70,1,2,1,0,True
True,66,1,1,1,0,True
True,66,1,0,1,0,True
True,65,2,0,1,0,True
True,66,0,0,1,0,True
True,80,0,0,1,1,True
True,79,1,0,1,0,True
True,78,0,0,1,0,True
True,80,0,0,1,1,True
True,78,1,0,1,0,True
True,76,1,1,1,0,True
True,75,0,1,1,0,True
True,75,1,1,1,0,True
True,73,2,1,1,0,True
True,71,2,0,1,0,True
True,70,3,0,1,0,True
True,70,2,0,1,0,True
True,68,4,0,1,0,True
True,69,4,1,1,0,True
True,67,5,1,1,0,True
True,64,5,0,1,0,True
True,63,5,1,1,0,True
True,63,4,1,1,0,True
True,62,5,1,1,0,True
True,61,5,0,1,0,True
True,60,5,1,1,0,True
True,58,4,1,1,0,True
True,57,3,1,1,0,True
True,55,3,2,1,0,True
True,55,3,0,1,0,True
True,54,2,0,1,0,True
True,52,2,1,1,0,True
True,51,2,2,1,0,True
True,50,2,3,1,0,True
True,50,2,4,1,0,True
True,48,3,4,1,0,True
True,47,3,6,1,0,True
True,47,3,8,1,0,True
True,45,3,9,1,0,True
True,44,3,10,1,0,True
True,43,2,10,1,0,True
True,42,4,10,1,0,True
True,41,4,9,1,0,True
True,39,3,9,1,0,True
True,39,3,7,1,0,True
True,38,3,9,1,0,True
True,37,4,9,1,0,True
True,36,4,10,1,0,True
True,34,4,9,1,0,True
True,34,3,9,1,0,True
True,33,4,9,1,0,True
True,32,5,9,1,0,True
True,30,7,9,1,0,True
True,28,6,9,1,0,True
True,27,6,10,1,0,True
True,26,7,10,1,0,False
True,25,7,11,1,0,False
True,24,7,13,1,0,False
True,22,7,11,1,0,False
True,21,8,11,1,0,False
True,19,8,10,1,0,False
True,19,6,10,1,0,False
True,18,6,11,1,0,False
True,17,6,10,1,0,False
True,16,8,10,1,0,False
True,15,8,9,1,0,False
True,14,6,9,1,0,False
True,12,4,9,1,0,False
True,13,4,7,1,0,False
True,9,3,7,1,0,False
True,7,3,8,1,0,False
True,7,3,9,1,0,False
True,6,3,7,1,0,False
True,5,4,7,1,0,False
True,5,3,7,1,0,False
True,4,3,8,1,0,False
True,3,3,6,1,0,False
True,2,4,6,1,0,False
True,127,5,6,1,0,True
True,126,4,6,1,0,True
True,123,5,6,1,0,True
True,124,5,5,1,0,True
True,123,6,5,1,0,True
True,122,6,3,1,0,True
True,120,6,4,1,0,True
True,120,4,4,1,0,True
True,118,3,4,1,0,True
True,118,2,4,1,0,True
True,117,2,5,1,0,True
True,115,3,5,1,0,True
True,115,1,5,1,0,True
True,114,1,6,1,0,True
True,112,2,6,1,0,True
True,110,2,7,1,0,True
True,109,2,9,1,0,True
True,107,2,8,1,0,True
True,106,3,8,1,0,True
True,105,2,8,1,0,True
True,104,2,10,1,0,True
True,102,1,10,1,0,True
True,101,2,10,1,0,True
True,100,4,10,1,0,True
True,100,6,10,1,0,True
True,99,4,10,1,0,True
True,97,4,11,1,0,True
True,97,2,11,1,0,True
True,94,3,11,1,0,True
True,94,2,11,1,0,True
True,93,2,10,1,0,True
True,91,0,10,1,0,True
True,90,0,11,1,0,True
True,91,0,12,1,0,True
True,89,0,11,1,0,True
True,88,0,13,1,0,True
True,87,1,13,1,0,True
True,87,1,14,1,0,True
True,85,1,13,1,0,True
True,85,0,13,1,0,True
True,84,1,13,1,0,True
True,82,0,13,1,0,True
True,82,0,12,1,0,True
True,79,0,13,1,1,True
True,79,0,12,1,0,True
True,78,2,12,1,0,True
True,76,2,11,1,0,True
True,75,2,10,1,0,True
True,75,4,10,1,0,True
True,73,5,10,1,0,True
True,71,4,10,1,0,True
True,72,3,10,1,0,True
True,72,3,9,1,0,True
True,69,4,9,1,0,True
True,68,4,10,1,0,True
True,67,6,10,1,0,True
True,67,6,11,1,0,True
True,64,6,10,1,0,True
True,62,5,10,1,0,True
True,62,7,10,1,0,True
True,60,9,10,1,0,True
True,59,9,11,1,0,True
True,58,10,11,1,0,True
True,59,10,12,1,0,True
True,55,10,14,1,0,True
True,56,10,15,1,0,True
True,54,10,16,1,0,True
True,54,10,18,1,0,True
True,51,11,18,1,0,True
True,53,11,17,1,0,True
True,49,12,17,1,0,True
True,48,11,17,1,0,True
True,48,11,15,1,0,True
True,47,11,16,1,0,True
True,47,11,17,1,0,True
True,46,9,17,1,0,True
True,44,7,17,1,0,True
True,44,7,18,1,0,True
True,42,7,19,1,0,True
True,41,8,19,1,0,True
True,41,8,18,1,0,True
True,38,7,18,1,0,True
True,38,5,18,1,0,True
True,37,5,19,1,0,True
True,37,4,19,1,0,True
True,36,6,19,1,0,True
True,34,7,19,1,0,True
True,35,6,19,1,0,True
True,32,6,18,1,0,True
True,32,6,20,1,0,True
True,30,5,20,1,0,True
True,30,4,20,1,0,True
True,28,6,20,1,0,True
True,26,5,20,1,0,False
True,27,4,20,1,0,True
True,25,4,19,1,0,False
True,24,4,18,1,0,False
True,23,5,18,1,0,False
True,23,5,16,1,0,False
True,21,5,17,1,0,False
True,22,5,18,1,0,False
True,19,5,16,1,0,False
True,19,5,14,1,0,False
True,18,5,13,1,0,False
True,16,3,13,1,0,False
True,16,3,12,1,0,False
True,14,2,12,1,0,False
True,12,0,12,1,0,False
True,12,2,12,1,0,False
True,10,2,11,1,0,False
True,9,2,12,1,0,False
True,9,2,14,1,0,False
True,8,2,16,1,0,False
True,7,2,14,1,0,False
True,6,2,15,1,0,False
True,4,2,16,1,0,False
True,3,2,18,1,0,False
True,2,0,18,1,0,False
True,2,0,19,1,0,False
True,127,0,18,1,0,True
True,125,0,20,1,0,True
True,124,0,19,1,0,True
True,123,0,20,1,0,True
True,121,0,18,1,0,True
True,122,0,19,1,0,True
True,120,0,20,1,0,True
True,118,1,20,1,0,True
True,117,2,20,1,0,True
True,118,2,18,1,0,True
True,116,4,18,1,0,True
True,114,4,20,1,0,True
True,114,4,19,1,0,True
True,112,5,19,1,0,True
True,111,5,18,1,0,True
True,110,4,18,1,0,True
True,108,5,18,1,0,True
True,108,6,18,1,0,True
True,107,6,17,1,0,True
True,106,7,17,1,0,True
True,105,6,17,1,0,True
True,104,5,17,1,0,True
True,101,5,16,1,0,True
True,100,6,16,1,0,True
True,99,6,15,1,0,True
True,99,7,15,1,0,True
True,97,7,16,1,0,True
True,96,8,16,1,0,True
True,96,9,16,1,0,True
True,94,9,18,1,0,True
True,93,10,18,1,0,True
True,92,10,19,1,0,True
True,90,10,18,1,0,True
True,90,10,16,1,0,True
True,89,10,17,1,0,True
True,88,10,16,1,0,True
True,86,9,16,1,0,True
True,86,9,14,1,0,True
True,84,8,14,1,0,True
True,83,8,13,1,0,True
True,83,8,14,1,0,True
True,82,8,15,1,0,True
True,80,7,15,1,0,True
