start,meter,ax,ay,fuelempty,fuelfull,risk
True,80,0,0,1,1,0
True,79,0,2,1,0,0
True,77,0,1,1,0,0
True,76,0,2,1,0,0
True,76,1,2,1,0,0
True,74,3,2,1,0,0
True,73,3,1,1,0,0
True,72,3,2,1,0,0
True,71,2,2,1,0,0
True,68,2,3,1,0,0
True,67,4,3,1,0,0
True,66,6,3,1,0,0
True,66,5,3,1,0,0
True,65,5,4,1,0,0
True,64,5,3,1,0,0
True,63,5,2,1,0,0
True,59,5,3,1,0,0
True,59,5,2,1,0,0
True,57,5,3,1,0,0
True,57,4,3,1,0,0
True,56,3,3,1,0,0
True,53,3,2,1,0,0
True,54,4,2,1,0,0
True,51,4,0,1,0,0
True,50,4,2,1,0,0
True,50,5,2,1,0,0
True,49,5,4,1,0,0
True,47,5,6,1,0,0
True,45,5,7,1,0,0
True,45,5,9,1,0,0
True,44,5,7,1,0,0
True,42,5,6,1,0,81/10000000000000000000000
True,42,5,4,1,0,81/10000000000000000000000
True,41,5,5,1,0,2853/2000000000000000000000
True,40,5,6,1,0,2383263/20000000000000000000000
True,39,6,6,1,0,126073521/20000000000000000000000
True,38,6,8,1,0,4704281883/20000000000000000000000
True,37,6,6,1,0,132985929213/20000000000000000000000
True,35,5,6,1,0,25677785343969/10000000000000000000000
True,34,5,7,1,0,92632860121689/2500000000000000000000
True,32,7,7,1,0,42126152180114853/10000000000000000000000
True,32,5,7,1,0,42566038895053557/10000000000000000000000
True,33,5,6,1,0,136484776455003/312500000000000000000
True,31,4,6,1,0,42566038895053557/10000000000000000000000
True,30,4,5,1,0,2303999132565215799/10000000000000000000000
True,29,3,5,1,0,2303999132565215799/10000000000000000000000
True,27,2,5,1,0,21452352560292978243/1000000000000000000000
True,26,4,5,1,0,616238738706203647893/10000000000000000000000
True,25,4,4,1,0,1502155926795650264307/10000000000000000000000
True,23,4,3,1,0,3802986752780312722089/10000000000000000000000
True,22,4,4,1,0,8983341091599820694901/20000000000000000000000
True,21,4,5,1,0,9081818181818181818181/20000000000000000000000
True,21,4,7,1,0,9081818181818181818109/20000000000000000000000
True,20,4,6,1,0,908181818181818181819/2000000000000000000000
True,18,4,7,1,0,9081818181818181891/20000000000000000000
True,17,4,8,1,0,908181818181818181819/2000000000000000000000
True,16,4,7,1,0,90818181818181891/200000000000000000
True,14,4,5,1,0,9081818181818919/20000000000000000
True,13,4,6,1,0,908181818181891/2000000000000000
True,10,6,6,1,0,90818181818181/200000000000000
True,9,6,5,1,0,90818181891/200000000000
True,9,6,6,1,0,908181818181/2000000000000
True,6,7,6,1,0,908181891/2000000000
True,6,8,6,1,0,908189181/2000000000
True,4,9,6,1,0,90891/200000
True,4,9,8,1,0,9089181/20000000
True,2,9,9,1,0,90891/200000
True,0,8,9,1,0,909/2000
True,1,8,11,0,0,1
True,1,8,11,0,0,1
True,1,8,11,0,0,1
True,1,8,11,0,0,1
True,1,8,11,0,0,1
True,1,8,11,0,0,1
True,1,8,11,0,0,1
True,1,8,11,0,0,1
True,1,8,11,0,0,1
True,1,8,11,0,0,1
True,1,8,11,0,0,1
True,1,8,11,0,0,1
True,1,8,11,0,0,1
True,1,8,11,0,0,1
True,1,8,11,0,0,1
True,1,8,11,0,0,1
True,1,8,11,0,0,1
True,1,8,11,0,0,1
True,1,8,11,0,0,1
True,1,8,11,0,0,1
True,1,8,11,0,0,1
True,1,8,11,0,0,1
True,1,8,11,0,0,1
True,1,8,11,0,0,1
True,1,8,11,0,0,1
True,1,8,11,0,0,1
True,1,8,11,0,0,1
True,1,8,11,0,0,1
True,1,8,11,0,0,1
True,1,8,11,0,0,1
True,1,8,11,0,0,1
True,1,8,11,0,0,1
True,1,8,11,0,0,1
True,1,8,11,0,0,1
True,1,8,11,0,0,1
True,1,8,11,0,0,1
True,1,8,11,0,0,1
True,1,8,11,0,0,1
True,1,8,11,0,0,1
True,1,8,11,0,0,1
True,1,8,11,0,0,1
True,1,8,11,0,0,1
True,1,8,11,0,0,1
True,1,8,11,0,0,1
True,1,8,11,0,0,1
True,1,8,11,0,0,1
True,1,8,11,0,0,1
True,1,8,11,0,0,1
True,1,8,11,0,0,1
True,1,8,11,0,0,1
True,1,8,11,0,0,1
True,1,8,11,0,0,1
True,1,8,11,0,0,1
True,1,8,11,0,0,1
True,1,8,11,0,0,1
True,1,8,11,0,0,1
True,1,8,11,0,0,1
True,1,8,11,0,0,1
True,1,8,11,0,0,1
True,1,8,11,0,0,1
True,1,8,11,0,0,1
True,1,8,11,0,0,1
True,1,8,11,0,0,1
True,1,8,11,0,0,1
True,1,8,11,0,0,1
True,1,8,11,0,0,1
