start,meter,ax,ay,fuelempty,fuelfull,risk
True,80,0,0,1,1,True
True,79,0,1,1,0,True
True,77,0,2,1,0,True
True,77,0,1,1,0,True
True,76,2,1,1,0,True
True,73,2,0,1,0,True
True,73,2,1,1,0,True
True,71,2,0,1,0,True
True,71,2,1,1,0,True
True,70,3,1,1,0,True
True,68,3,3,1,0,True
True,68,2,3,1,0,True
True,64,2,5,1,0,True
True,64,3,5,1,0,True
True,63,3,4,1,0,True
True,63,3,3,1,0,True
True,61,3,2,1,0,True
True,60,3,3,1,0,True
True,59,4,3,1,0,True
True,56,4,4,1,0,True
True,56,4,3,1,0,True
True,55,3,3,1,0,True
True,54,3,5,1,0,True
True,52,3,6,1,0,True
True,52,3,5,1,0,True
True,50,1,5,1,0,True
True,50,1,4,1,0,True
True,48,1,2,1,0,True
True,47,1,1,1,0,True
True,47,0,1,1,0,True
True,44,1,1,1,0,True
True,44,1,0,1,0,True
True,43,1,2,1,0,True
True,40,2,2,1,0,True
True,40,4,2,1,0,True
True,37,4,3,1,0,True
True,37,4,2,1,0,True
True,36,4,3,1,0,True
True,34,5,3,1,0,True
True,33,5,5,1,0,True
True,32,5,4,1,0,True
True,31,5,3,1,0,True
True,30,4,3,1,0,True
True,29,5,3,1,0,True
True,28,6,3,1,0,True
True,26,6,1,1,0,False
True,25,6,2,1,0,False
True,24,4,2,1,0,False
True,24,5,2,1,0,False
True,22,3,2,1,0,False
True,21,5,2,1,0,False
True,21,5,1,1,0,False
True,19,6,1,1,0,False
True,18,8,1,1,0,False
True,16,6,1,1,0,False
True,17,7,1,1,0,False
True,16,7,0,1,0,False
True,14,8,0,1,0,False
True,11,7,0,1,0,False
True,10,7,1,1,0,False
True,10,7,3,1,0,False
True,10,7,2,1,0,False
True,8,5,2,1,0,False
True,8,4,2,1,0,False
True,5,3,2,1,0,False
True,5,3,3,1,0,False
True,3,3,4,1,0,False
True,2,2,4,1,0,False
True,1,2,3,1,0,False
True,1,1,3,1,0,False
True,127,1,2,1,0,True
True,126,0,2,1,0,True
True,124,1,2,1,0,True
True,122,2,2,1,0,True
True,123,0,2,1,0,True
True,121,0,1,1,0,True
True,120,0,0,1,0,True
True,121,0,2,1,0,True
True,119,0,0,1,0,True
True,118,1,0,1,0,True
True,116,0,0,1,0,True
True,115,0,1,1,0,True
True,113,0,0,1,0,True
True,114,0,1,1,0,True
True,113,0,0,1,0,True
True,113,0,2,1,0,True
