start,meter,ax,ay,fuelempty,fuelfull,risk
True,80,0,0,1,1,0.0
True,79,0,2,1,0,0.0
True,77,0,1,1,0,0.0
True,76,0,2,1,0,0.0
True,76,1,2,1,0,0.0
True,74,3,2,1,0,0.0
True,73,3,1,1,0,0.0
True,72,3,2,1,0,0.0
True,71,2,2,1,0,0.0
True,68,2,3,1,0,0.0
True,67,4,3,1,0,0.0
True,66,6,3,1,0,0.0
True,66,5,3,1,0,0.0
True,65,5,4,1,0,0.0
True,64,5,3,1,0,0.0
True,63,5,2,1,0,0.0
True,59,5,3,1,0,0.0
True,59,5,2,1,0,0.0
True,57,5,3,1,0,0.0
True,57,4,3,1,0,0.0
True,56,3,3,1,0,0.0
True,53,3,2,1,0,0.0
True,54,4,2,1,0,0.0
True,51,4,0,1,0,0.0
True,50,4,2,1,0,0.0
True,50,5,2,1,0,0.0
True,49,5,4,1,0,0.0
True,47,5,6,1,0,0.0
True,45,5,7,1,0,0.0
True,45,5,9,1,0,0.0
True,44,5,7,1,0,0.0
True,42,5,6,1,0,8.126222337720944e-21
True,42,5,4,1,0,8.126222337720944e-21
True,41,5,5,1,0,1.429791614965259e-18
True,40,5,6,1,0,1.192622389734055e-16
True,39,6,6,1,0,6.300515664747763e-15
True,38,6,8,1,0,2.353672812205332e-13
True,37,6,6,1,0,6.622258297284134e-12
True,35,5,6,1,0,2.5684130378067493e-09
True,34,5,7,1,0,3.7136487662792206e-08
True,32,7,7,1,0,4.217028617858887e-06
True,32,5,7,1,0,4.246830940246582e-06
True,33,5,6,1,0,4.377216100692749e-07
True,31,4,6,1,0,4.246830940246582e-06
True,30,4,5,1,0,0.00022983551025390625
True,29,3,5,1,0,0.00022983551025390625
True,27,2,5,1,0,0.02142333984375
True,26,4,5,1,0,0.061767578125
True,25,4,4,1,0,0.14990234375
True,23,4,3,1,0,0.3798828125
True,22,4,4,1,0,0.447265625
True,21,4,5,1,0,0.455078125
True,21,4,7,1,0,0.455078125
True,20,4,6,1,0,0.455078125
True,18,4,7,1,0,0.455078125
True,17,4,8,1,0,0.455078125
True,16,4,7,1,0,0.455078125
True,14,4,5,1,0,0.455078125
True,13,4,6,1,0,0.455078125
True,10,6,6,1,0,0.455078125
True,9,6,5,1,0,0.455078125
True,9,6,6,1,0,0.455078125
True,6,7,6,1,0,0.455078125
True,6,8,6,1,0,0.455078125
True,4,9,6,1,0,0.455078125
True,4,9,8,1,0,0.455078125
True,2,9,9,1,0,0.455078125
True,0,8,9,1,0,0.455078125
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
True,1,8,11,0,0,0.99609375
