start,meter,ax,ay,fuelempty,fuelfull,risk
True,80,0,0,1,1,True
True,79,0,2,1,0,True
True,77,0,1,1,0,True
True,76,0,2,1,0,True
True,76,1,2,1,0,True
True,74,3,2,1,0,True
True,73,3,1,1,0,True
True,72,3,2,1,0,True
True,71,2,2,1,0,True
True,68,2,3,1,0,True
True,67,4,3,1,0,True
True,66,6,3,1,0,True
True,66,5,3,1,0,True
True,65,5,4,1,0,True
True,64,5,3,1,0,True
True,63,5,2,1,0,True
True,59,5,3,1,0,True
True,59,5,2,1,0,True
True,57,5,3,1,0,True
True,57,4,3,1,0,True
True,56,3,3,1,0,True
True,53,3,2,1,0,True
True,54,4,2,1,0,True
True,51,4,0,1,0,True
True,50,4,2,1,0,True
True,50,5,2,1,0,True
True,49,5,4,1,0,True
True,47,5,6,1,0,True
True,45,5,7,1,0,True
True,45,5,9,1,0,True
True,44,5,7,1,0,True
True,42,5,6,1,0,
