start,meter,ax,ay,fuelempty,fuelfull,risk
True,80,0,0,1,1,0.0
True,79,0,1,1,0,0.0
True,76,0,2,1,0,0.0
True,76,1,2,1,0,0.0
True,74,2,2,1,0,0.0
True,73,2,3,1,0,0.0
True,73,2,2,1,0,0.0
True,70,2,3,1,0,0.0
True,70,2,2,1,0,0.0
True,69,2,0,1,0,0.0
True,69,3,0,1,0,0.0
True,66,3,1,1,0,0.0
True,66,3,0,1,0,0.0
True,65,3,1,1,0,0.0
True,64,4,1,1,0,0.0
True,63,4,0,1,0,0.0
True,63,3,0,1,0,0.0
True,62,5,0,1,0,0.0
True,60,6,0,1,0,0.0
True,58,8,0,1,0,0.0
True,58,6,0,1,0,0.0
True,56,5,0,1,0,0.0
True,56,5,2,1,0,0.0
True,54,7,2,1,0,0.0
True,52,8,2,1,0,0.0
True,51,8,4,1,0,0.0
True,50,6,4,1,0,0.0
True,50,5,4,1,0,0.0
True,48,4,4,1,0,0.0
True,47,3,4,1,0,0.0
True,46,5,4,1,0,0.0
True,46,5,3,1,0,0.0
True,45,5,1,1,0,0.0
True,44,4,1,1,0,0.0
True,43,4,0,1,0,0.0
True,41,2,0,1,0,
