start,meter,ax,ay,fuelempty,fuelfull,risk
True,80,0,0,1,1,True
True,79,0,2,1,0,True
True,77,0,1,1,0,True
True,76,0,2,1,0,True
True,76,1,2,1,0,True
True,74,3,2,1,0,True
True,73,3,1,1,0,True
True,72,3,2,1,0,True
True,71,2,2,1,0,True
True,68,2,3,1,0,True
True,67,4,3,1,0,True
True,66,6,3,1,0,True
True,66,5,3,1,0,True
True,65,5,4,1,0,True
True,64,5,3,1,0,True
True,63,5,2,1,0,True
True,59,5,3,1,0,True
True,59,5,2,1,0,True
True,57,5,3,1,0,True
True,57,4,3,1,0,True
True,56,3,3,1,0,True
True,53,3,2,1,0,True
True,54,4,2,1,0,True
True,51,4,0,1,0,True
True,50,4,2,1,0,True
True,50,5,2,1,0,True
True,49,5,4,1,0,True
True,47,5,6,1,0,True
True,45,5,7,1,0,True
True,45,5,9,1,0,True
True,44,5,7,1,0,True
True,42,5,6,1,0,True
True,42,5,4,1,0,True
True,41,5,5,1,0,True
True,40,5,6,1,0,True
True,39,6,6,1,0,True
True,38,6,8,1,0,True
True,37,6,6,1,0,True
True,35,5,6,1,0,True
True,34,5,7,1,0,True
True,32,7,7,1,0,True
True,32,5,7,1,0,True
True,33,5,6,1,0,True
True,31,4,6,1,0,True
True,30,4,5,1,0,True
True,29,3,5,1,0,True
True,27,2,5,1,0,True
True,26,4,5,1,0,False
True,25,4,4,1,0,False
True,23,4,3,1,0,False
True,22,4,4,1,0,False
True,21,4,5,1,0,False
True,21,4,7,1,0,False
True,20,4,6,1,0,False
True,18,4,7,1,0,False
True,17,4,8,1,0,False
True,16,4,7,1,0,False
True,14,4,5,1,0,False
True,13,4,6,1,0,False
True,10,6,6,1,0,False
True,9,6,5,1,0,False
True,9,6,6,1,0,False
True,6,7,6,1,0,False
True,6,8,6,1,0,False
True,4,9,6,1,0,False
True,4,9,8,1,0,False
True,2,9,9,1,0,False
True,0,8,9,1,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
True,1,8,11,0,0,False
