start,meter,ax,ay,fuelempty,fuelfull,risk
True,80,0,0,1,1,0.0
True,79,0,2,1,0,0.0
True,77,0,1,1,0,0.0
True,76,0,2,1,0,0.0
True,76,1,2,1,0,0.0
True,74,3,2,1,0,0.0
True,73,3,1,1,0,0.0
True,72,3,2,1,0,0.0
True,71,2,2,1,0,0.0
True,68,2,3,1,0,0.0
True,67,4,3,1,0,0.0
True,66,6,3,1,0,0.0
True,66,5,3,1,0,0.0
True,65,5,4,1,0,0.0
True,64,5,3,1,0,0.0
True,63,5,2,1,0,0.0
True,59,5,3,1,0,0.0
True,59,5,2,1,0,0.0
True,57,5,3,1,0,0.0
True,57,4,3,1,0,0.0
True,56,3,3,1,0,0.0
True,53,3,2,1,0,0.0
True,54,4,2,1,0,0.0
True,51,4,0,1,0,0.0
True,50,4,2,1,0,0.0
True,50,5,2,1,0,0.0
True,49,5,4,1,0,0.0
True,47,5,6,1,0,0.0
True,45,5,7,1,0,0.0
True,45,5,9,1,0,0.0
True,44,5,7,1,0,0.0
True,42,5,6,1,0,8.099999999999971e-21
True,42,5,4,1,0,8.099999999999975e-21
True,41,5,5,1,0,1.4264999999999972e-18
True,40,5,6,1,0,1.191631499999997e-16
True,39,6,6,1,0,6.3036760499999864e-15
True,38,6,8,1,0,2.3521409414999883e-13
True,37,6,6,1,0,6.6492964606499854e-12
True,35,5,6,1,0,2.5677785343968954e-09
True,34,5,7,1,0,3.7053144048675364e-08
True,32,7,7,1,0,4.212615218011474e-06
True,32,5,7,1,0,4.256603889505348e-06
True,33,5,6,1,0,4.367512846560075e-07
True,31,4,6,1,0,4.256603889505351e-06
True,30,4,5,1,0,0.00023039991325652122
True,29,3,5,1,0,0.00023039991325652127
True,27,2,5,1,0,0.021452352560292962
True,26,4,5,1,0,0.06162387387062008
True,25,4,4,1,0,0.15021559267956483
True,23,4,3,1,0,0.3802986752780305
True,22,4,4,1,0,0.449167054579988
True,21,4,5,1,0,0.4540909090909061
True,21,4,7,1,0,0.4540909090909077
True,20,4,6,1,0,0.45409090909090827
True,18,4,7,1,0,0.4540909090909083
True,17,4,8,1,0,0.4540909090909083
True,16,4,7,1,0,0.45409090909090855
True,14,4,5,1,0,0.4540909090909452
True,13,4,6,1,0,0.4540909090909448
True,10,6,6,1,0,0.45409090909090305
True,9,6,5,1,0,0.45409090945499936
True,9,6,6,1,0,0.45409090909049504
True,6,7,6,1,0,0.4540909454999994
True,6,8,6,1,0,0.45409459049999934
True,4,9,6,1,0,0.45445499999999744
True,4,9,8,1,0,0.4544590499999983
True,2,9,9,1,0,0.45445499999999955
True,0,8,9,1,0,0.45449999999999974
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
True,1,8,11,0,0,0.9999999999999918
