start,turn,ax,ay,crash,done,see_dx,see_dy,risk
True,False,7,8,0,0,-1,-1,True
True,True,7,7,0,0,-1,-1,True
True,False,7,7,0,0,-1,-1,True
True,True,8,7,0,0,-1,-1,True
True,False,8,7,0,0,-1,-1,True
True,True,7,7,0,0,-1,-1,True
True,False,7,7,0,0,-1,-1,True
True,True,7,6,0,0,-1,-1,True
True,False,7,6,0,0,-1,-1,False
True,True,7,5,0,0,-1,-1,False
True,False,7,5,0,0,-1,-1,False
True,True,7,4,0,0,-1,-1,False
True,False,7,4,0,0,-1,-1,False
True,True,6,4,0,0,-1,-1,False
True,False,6,4,0,0,-1,-1,False
True,True,6,3,0,0,-1,-1,False
True,False,6,3,0,0,-1,-1,False
True,True,6,2,0,0,-1,-1,False
True,False,6,2,0,0,-1,-1,False
True,True,7,2,0,0,-1,-1,False
True,False,7,2,0,0,-1,-1,False
True,True,6,2,0,0,-1,-1,False
True,False,6,2,0,0,-1,-1,False
True,True,7,2,0,0,-1,-1,False
True,False,7,2,0,0,-1,-1,False
True,True,8,2,0,0,-1,-1,False
True,False,8,2,0,0,-1,-1,False
True,True,7,2,0,0,-1,-1,False
True,False,7,2,0,0,-1,-1,False
True,True,6,2,0,0,-1,-1,False
True,False,6,2,0,0,-1,-1,False
True,True,6,3,0,0,-1,-1,False
True,False,6,3,0,0,-1,-1,False
True,True,6,4,0,0,-1,-1,False
True,False,6,4,0,0,-1,-1,False
True,True,6,3,0,0,-1,-1,False
True,False,6,3,0,0,-1,-1,False
True,True,6,2,0,0,-1,-1,False
True,False,6,2,0,0,-1,-1,False
True,True,5,2,0,0,-1,-1,False
True,False,5,2,0,0,-1,-1,False
True,True,5,1,0,0,-1,-1,False
True,False,5,1,0,0,-1,-1,False
True,True,4,1,0,0,-1,-1,False
True,False,4,1,0,0,1,0,False
True,True,4,2,0,0,1,0,False
True,False,4,2,0,0,2,0,False
True,True,5,2,0,0,2,0,False
True,False,5,2,0,0,2,1,False
True,True,6,2,0,0,-1,-1,False
True,False,6,2,0,0,3,1,False
True,True,5,2,0,0,3,1,False
True,False,5,2,0,0,4,1,False
True,True,5,3,0,0,4,1,False
True,False,5,3,0,0,5,1,False
True,True,6,3,0,0,5,1,False
True,False,6,3,0,0,5,0,False
True,True,6,2,0,0,5,0,False
True,False,6,2,0,0,6,0,False
True,True,6,3,0,0,6,0,False
True,False,6,3,0,0,5,0,False
True,True,5,3,0,0,5,0,False
True,False,5,3,0,0,4,0,False
True,True,6,3,0,0,4,0,False
True,False,6,3,0,0,4,1,False
True,True,7,3,0,0,4,1,False
True,False,7,3,0,0,-1,-1,False
True,True,6,3,0,0,3,1,False
True,False,6,3,0,0,-1,-1,False
True,True,6,4,0,0,-1,-1,False
True,False,6,4,0,0,-1,-1,False
True,True,6,5,0,0,-1,-1,False
True,False,6,5,0,0,-1,-1,False
True,True,5,5,0,0,-1,-1,False
True,False,5,5,0,0,-1,-1,False
True,True,5,4,0,0,-1,-1,False
True,False,5,4,0,0,-1,-1,False
True,True,6,4,0,0,-1,-1,False
