d,pobs,turn,risk
298,29,0,False
298,29,1,False
298,29,0,False
298,29,1,False
297,29,0,False
297,29,1,False
297,29,0,False
297,29,1,False
297,29,0,False
297,28,1,False
296,28,0,False
296,29,1,False
296,29,0,False
296,29,1,False
296,29,0,False
296,29,1,False
296,29,0,False
296,29,1,False
296,29,0,False
296,29,1,False
296,29,0,False
296,29,1,False
296,29,0,False
296,29,1,False
295,29,0,False
295,28,1,False
295,28,0,False
295,29,1,False
295,29,0,False
295,29,1,False
294,29,0,False
294,29,1,False
293,29,0,False
293,29,1,False
293,29,0,False
293,29,1,False
292,29,0,False
292,29,1,False
291,29,0,False
291,29,1,False
290,29,0,False
290,29,1,False
289,29,0,False
289,29,1,False
289,29,0,False
289,29,1,False
289,29,0,False
289,29,1,False
288,29,0,False
288,29,1,False
288,29,0,False
288,29,1,False
288,29,0,False
288,28,1,False
288,28,0,False
288,29,1,False
287,29,0,False
287,28,1,False
287,28,0,False
287,28,1,False
286,28,0,False
286,28,1,False
286,28,0,False
286,26,1,True
285,26,0,True
285,26,1,True
284,26,0,True
284,26,1,True
283,26,0,True
283,26,1,True
283,26,0,True
283,25,1,True
283,25,0,True
283,26,1,True
282,26,0,True
282,25,1,True
281,25,0,True
281,24,1,True
281,24,0,True
281,23,1,True
281,23,0,True
281,21,1,True
280,21,0,True
280,22,1,True
280,22,0,True
280,21,1,True
280,21,0,True
280,20,1,True
280,20,0,True
280,19,1,True
280,19,0,True
280,20,1,True
279,20,0,True
279,18,1,True
278,18,0,True
278,18,1,True
277,18,0,True
277,16,1,True
276,16,0,True
276,16,1,True
276,16,0,True
276,15,1,True
275,15,0,True
275,13,1,True
275,13,0,True
275,14,1,True
274,14,0,True
274,13,1,True
274,13,0,True
274,11,1,True
273,11,0,True
273,10,1,True
273,10,0,True
273,11,1,True
273,11,0,True
273,10,1,True
273,10,0,True
273,8,1,True
272,8,0,True
272,9,1,True
271,9,0,True
271,7,1,True
270,7,0,True
270,7,1,True
269,7,0,True
269,7,1,True
268,7,0,True
268,5,1,True
267,5,0,True
267,5,1,True
266,5,0,True
266,2,1,True
266,2,0,True
266,2,1,True
266,2,0,True
266,1,1,True
265,1,0,True
265,0,1,True
265,0,0,True
265,0,1,True
264,0,0,True
264,1,1,True
263,1,0,True
263,1,1,True
262,1,0,True
262,1,1,True
261,1,0,True
261,0,1,True
260,0,0,True
260,0,1,True
259,0,0,True
259,1,1,True
258,1,0,True
258,1,1,True
257,1,0,True
257,0,1,True
256,0,0,True
256,1,1,True
255,1,0,True
255,0,1,True
254,0,0,True
254,0,1,True
253,0,0,True
253,0,1,True
252,0,0,True
252,0,1,True
251,0,0,True
251,0,1,True
250,0,0,True
250,1,1,True
249,1,0,True
249,1,1,True
248,1,0,True
248,0,1,True
247,0,0,True
247,1,1,True
246,1,0,True
246,0,1,True
245,0,0,True
245,1,1,True
244,1,0,True
244,0,1,True
243,0,0,True
243,0,1,True
242,0,0,True
242,0,1,True
241,0,0,True
241,0,1,True
240,0,0,True
240,0,1,True
239,0,0,True
239,0,1,True
238,0,0,True
238,0,1,True
237,0,0,True
237,0,1,True
236,0,0,True
236,0,1,True
235,0,0,True
235,0,1,True
234,0,0,True
234,0,1,True
233,0,0,True
233,1,1,True
232,1,0,True
232,0,1,True
231,0,0,True
231,0,1,True
230,0,0,True
230,0,1,True
229,0,0,True
229,1,1,True
228,1,0,True
228,0,1,True
227,0,0,True
227,0,1,True
226,0,0,True
226,0,1,True
225,0,0,True
225,1,1,True
224,1,0,True
224,0,1,True
223,0,0,True
223,1,1,True
222,1,0,True
222,0,1,True
221,0,0,True
221,0,1,True
220,0,0,True
220,0,1,True
219,0,0,True
219,1,1,True
218,1,0,True
218,0,1,True
217,0,0,True
217,1,1,True
216,1,0,True
216,1,1,True
215,1,0,True
215,1,1,True
214,1,0,True
214,0,1,True
213,0,0,True
213,0,1,True
212,0,0,True
212,0,1,True
211,0,0,True
211,0,1,True
210,0,0,True
210,0,1,True
