d,pobs,turn,risk
299,29,0,1
299,29,1,1
298,29,0,1
298,29,1,1
298,29,0,1
298,28,1,1
297,28,0,1
297,29,1,1
296,29,0,1
296,29,1,1
295,29,0,1
295,29,1,1
294,29,0,1
294,29,1,1
294,29,0,1
294,29,1,1
294,29,0,1
294,29,1,1
293,29,0,1
293,29,1,1
293,29,0,1
293,29,1,1
292,29,0,1
292,29,1,1
292,29,0,1
292,29,1,1
292,29,0,1
292,29,1,1
292,29,0,1
292,29,1,1
292,29,0,1
292,29,1,1
291,29,0,1
291,29,1,1
290,29,0,1
290,28,1,1
290,28,0,1
290,29,1,1
289,29,0,1
289,28,1,1
289,28,0,1
289,29,1,1
289,29,0,1
289,29,1,1
289,29,0,1
289,28,1,1
289,28,0,1
289,29,1,1
288,29,0,1
288,29,1,1
288,29,0,1
288,28,1,1
287,28,0,1
287,28,1,1
287,28,0,1
287,27,1,1
287,27,0,2311/3294
287,26,1,3730319299647864414972829095680366825174753774986475451218509952057864015639030638902132615449087034469785333185370651590579418381228132775936917345985423015912058263650321941398468736338274739538777/13915099278209533899753451516164535012850102273729496424413343032701974732020284100338688697949072543164115011903169231713042775837845209461656401403110126653032930267301087004799599336839881409758795264237726906932381667332175018041627200736555837763364398824212698784807477059029621930671434804547636140311621229328299540090562441757586587471367236432437724737033707412223082494388206791338100913
287,26,0,10567073923437953697215216283822695203039881488193161669420379395955902699026860818343783977916470801147360053826965803852439080788484468046942866927170549583110778720687292627395946109042265738786173/55830645696347386066736353444976139917450615236280344189721510504732324035924126285598355349732446630707823063503551772217180677302301192667873253340673912911709830219055617155767554355926913384473756741213651359241847511550170665487842537072471186380148270843436689850113277311944172365642939103516966865411292691655983513346683376250367703780959606030448070868204700169311533410949896843075121852
287,26,1,3730319299647864414972829095680366825174753774986475451218509952057864015639030638902132615449087034469785333185370651590579418381228132775936917345985423015912058263650321941398468736338274739538777/13915099278209533899753451516164535012850102273729496424413343032701974732020284100338688697949072543164115011903169231713042775837845209461656401403110126653032930267301087004799599336839881409758795264237726906932381667332175018041627200736555837763364398824212698784807477059029621930671434804547636140311621229328299540090562441757586587471367236432437724737033707412223082494388206791338100913
286,26,0,3225472088713189979209699847255638466917292644592175966881498211431597359619618823490040643949331129231880041051567975018872210706073573309218805909934300128142902539215493699156549135806023040324683/5201760434620253207393251126908093523889113025181544200351962018250398249562817576256962290249004591484657132989230295981648933116895673241503174732435520043092149829712889537550577815858009224733830583338088304762582019569342993642919213321458202977088447033116220023829414972061294384163755123828214108439227743166837652234315213147127291811911603455084526629626177087848548150850061869094756660
286,26,1,2571254757330925829801779187358082456894828478943990068218483452616714356535096859969393901759901896286249920567357705977612852073940980864082387311796142399627865215183199409490074541359404098645191/3305636785123962746822173360568966620482403358644909174215726950366983412895052986463492748599083319997074432859748090064532663295519952024664380654147687089489655812006219842130197018493140682705474882300266837294945456096983793116695467691088807852896642917829206397303261944124036001465809400937376782915732287561591003715222919991480736762388274048997408892593448339573413153093246615196877320
286,26,0,400327765650268060798190464972205108037060406223011263101132498002568544302378123675860005593327106002450504621203634459684357623363286409194079690535688472134684541276387832126613761027093369086974/641042217404506636431530279554884954260712219894909670777259408840369461018514925883937384711903409767558805124332510382859576458832319404696235269628612694596938097287788239653731762028903418315022075307077912826837728059037455800308344736276451735724180682517241807567313160592313348368111484696741986302602876114376883774141431094011192716607916221068153269505871800437038920145701503651407503
286,24,1,11016889653956057068569702088304278361974639899925962486288605130985012242798447424243121977890560362881654045314696971130024829508088988109831789175482424274067621367075517172060055597341653634908318876/121370570239746958626953371521265820229957704840579453251204073471586221780623293102056597724668924695699908083551468368249448848761234273598274965993891321758308486118644104907079628011209433261333783870274762063510777837012570793514348370223190933241876802353407707504005766224924331431836463617757755750894619355572822715054640783376774266836798890622447963978702896085767394842818479562371093590569327
285,24,0,22615598494195381764226541194640836435890498476939686186200490183576392923888330909424558906684698346325459699941321815458225558229930997375444228903173548450407855093853501839257495034972957775936488993/255728977046726167058571659546753651020494227358212901479227968211187010129501251800227372933997513240272504306989917868202263805294627810676908785124570494631606583044247197992108896249400483458505888214249624658526415789654373245304805542564992134486902030007578914704670908089356154404031540482449037918265478378820111575263141734105976075768420542027693895859828055868445769106776287051503784676910084
285,24,1,11016889653956057068569702088304278361974639899925962486288605130985012242798447424243121977890560362881654045314696971130024829508088988109831789175482424274067621367075517172060055597341653634908318876/121370570239746958626953371521265820229957704840579453251204073471586221780623293102056597724668924695699908083551468368249448848761234273598274965993891321758308486118644104907079628011209433261333783870274762063510777837012570793514348370223190933241876802353407707504005766224924331431836463617757755750894619355572822715054640783376774266836798890622447963978702896085767394842818479562371093590569327
285,24,0,4758154134857839068442742694442701735257760006322834769677852816661463030663898646513181011265011130883802268947854301038233919855032140038342983843160357857350866338229533358654545281662430455666944515/22639826901235550306193782626779420857091860200805103505329349246548374720472540841424745438323051560006466075567859579910620973013300107887243425264204875394260940898936523434919525627013754229531680175257310392158917047868209749011624636765872863741090504954133226410202998388077014108225046808364986639667957369457571179984665894404523127595195896594387437633971562429198300936052320244894206044843141
285,22,1,79275087295238030398557774689822783142358844944728922719321586753793214792307028753456276635697530744986814962135219462732836619920172542178926143129075043140097081956929833868733500268481768427899472629071/3142203838734813310621793978798492718554155733684594624779267523258773059419300507072838768263622298919255356634065902894529310988187415624080002384499517823561301785827273520593412784770276004209450082492393256852070404432009425127225961342257314758761676936799983065804062619658413124348597794654138166284920111022565788104772010082465246160394104371351714624834759306407341901761358465406848867774238828651016
284,22,0,81109830812210486449542284694690650660179145828470986184281667449933864282550026047115790555942596030902848126775023188450127230640401720969614601143618920040431629927226966113372710854030421781992255675681/3289375796810851745673591697180220210543850124300364561636727880883179031858767694574715902796054573452517472088608158967347838594562216863670922919281586557846518693767684317774060916015766451982061996988580916366216759795094645641374152552744033390382237673843097071585486180850154511990253348104768891130285809142870439286734240849179559762182081328322697889043949585099074462823425420288705139488925649489196
284,21,1,563502898612998092517443029463794656903225226964931759661077490106159356063437392907594394638375322276564381888180589960803055441871222401727533289550424326348216151794985245301292400450422402007548549559309/793830518627505932183285621815699452443618576963054486927255200859732697965896066498415000158439786577816930554761703858403610151720927857668163187614201249036047999593607748829136048363652572728187320964390992454674518600495344845645687276759537885473731311270691925855325856417705835099878875278283344947414838970871947450108127624588408950171645106236159914681377604018559079433594544213955370299074705074501680
284,21,0,9536771485151068822934885968492699421756635592937245679921600286277733143830280755335056920379079280092678951039963826862007008528081525254290298383043637780086021174599478307134057690175159948677839458836129/45474668459666435394948066501822681141765885673803146832301467017258815101522093476344656563885703382758744207181151003908589488936914904331078047880148750672049640182955932432618436471184249835798909513653357724646449975741139526792925303454129960171374419177437663419033199188899483212217618732020702948005524496544759332803953839766716145496396554270670251369874586639044110199979581588175016024062580355065946708
284,19,1,23060531716623578880804211405010316738693628113644629863310807937451728700955245741749132826085842679745597368116909007812965135396531004456406965126583827391835702063263450021379415549389793715033681257639878595/531777172834527622203888816652333515013313741111011192158878483193979235037796482865190513246201686602911629356167638021781629731735150034299815687531584846453201833271142328174063136969321004760677551281720494160700125491189906299385611478844320118848616762541945008535583988960828256191762003479902048579962911613432621123713580631004209868427325838970664342317083850770665991708730660828300589281663726241416228945809336
283,19,0,1385816652862825161967049290141937085138880532685679644520030340561148603447312855801483256713786234077963777411703194555036626594283677911634330252527019763587085438345204204072050216040234102260249279003269230/13443309360300702784879088633848846430172541067098803801516511996289399691725680245147913420826179247555123450400343196096312356791509715148445900985320886656978153200747613520415980012705260016464511891431625652299167201898169693455085054537077034849362396356744698999102973055392349468980126346695808991954584075811600652992711162916931975808231891995171067382179653236448697220345408844549184408408305329357063986859253
