d,pobs,turn,risk
299,29,0,1
299,29,1,1
298,29,0,1
298,29,1,1
298,29,0,1
298,29,1,1
297,29,0,1
297,28,1,1
297,28,0,1
297,29,1,1
297,29,0,1
297,28,1,1
296,28,0,1
296,29,1,1
296,29,0,1
296,27,1,1
295,27,0,1
295,29,1,1
295,29,0,518585803363228248167652284668344645890847800249240195177712973809959853376221044407520030879105362798191277276009338677789986458056452820930493245693718719487630690854804413888272598757769082501163478236402317678710683172747893633678830616537862084721136944966577208366831882714118463889931375420506866008748054865422473310120033889607951587479805930125878849332371088193227340789011900769853763073993208595113627253271332946624398507484880444550184376311249415999730095064181555263974940828288440864815195405410211921069601905868949778078396834927019947180180623884269374472008254545163801748135214113223653449721887689122927078757482543184724833182009586067712559507760539408022508115078416825363340721179700180453779010644460090240220098576245857709351574116024304244377682040326475719978580964505594530574673237869053119481693203501740160651343024049393273612784683720459722514072824754732287144709887418816717691249352048194861678464566884672534313960367350123173097252806254549610804677292431056354558224099276925144109752717088063287698920614377446145520247325100580719197371705244137943909264007886618101798999792970426916382484031238866142875656764668108217509260374379522477719085042620213866583538700225264092220825125801543877828654789909473015380721802770084512734301/747227387622790449627141020268107797799448182133501124563327931999315677121536756194152037168582253754803103009622631510092072434865208392165281097115425266863291294711515202894287056183186138826311406636646042910280642275634153873760846792808365319657914660366132153681227835758625752674111533836060530904768943212709242587661097977042971207543717059951486967042171277750685335475545140384195062724019691837627070985812699441449727800753873487342921540017041487111374798716104837349849129822915493485477995811183882013641509936968509508799682663840916982312835235655767676387749075876800222466951755614585831858713150858499898056510045268530479494849916631392408718615122537600107720398627500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
295,28,1,1
295,28,0,518585803363228248167652284668344645890847800249240195177712973809959853376221044407520030879105362798191277276009338677789986458056452820930493245693718719487630690854804413888272598757769082501163478236402317678710683172747893633678830616537862084721136944966577208366831882714118463889931375420506866008748054865422473310120033889607951587479805930125878849332371088193227340789011900769853763073993208595113627253271332946624398507484880444550184376311249415999730095064181555263974940828288440864815195405410211921069601905868949778078396834927019947180180623884269374472008254545163801748135214113223653449721887689122927078757482543184724833182009586067712559507760539408022508115078416825363340721179700180453779010644460090240220098576245857709351574116024304244377682040326475719978580964505594530574673237869053119481693203501740160651343024049393273612784683720459722514072824754732287144709887418816717691249352048194861678464566884672534313960367350123173097252806254549610804677292431056354558224099276925144109752717088063287698920614377446145520247325100580719197371705244137943909264007886618101798999792970426916382484031238866142875656764668108217509260374379522477719085042620213866583538700225264092220825125801543877828654789909473015380721802770084512734301/747227387622790449627141020268107797799448182133501124563327931999315677121536756194152037168582253754803103009622631510092072434865208392165281097115425266863291294711515202894287056183186138826311406636646042910280642275634153873760846792808365319657914660366132153681227835758625752674111533836060530904768943212709242587661097977042971207543717059951486967042171277750685335475545140384195062724019691837627070985812699441449727800753873487342921540017041487111374798716104837349849129822915493485477995811183882013641509936968509508799682663840916982312835235655767676387749075876800222466951755614585831858713150858499898056510045268530479494849916631392408718615122537600107720398627500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
295,25,1,2841032790750824598556059561611509559539185816441433249181983631883623801359439896420365325322029493554414611826373363699533513301060011758266687266374156532340301436489837195929955204995343756259854060640905139575729386094768049210630241833238460014261290101333533772492572591415177851456231237827938297179077775086759344143938715929021107745175384820660594422959940367567168292144845110060054938543326004521236873676734403242485746019795123220408194825711886367000633558810818675769774543726938053183822439077914545956550152115716706258829760964276102695955232239813164735008689921718703035137322893313126646345560838105330163840923182122098064919809667271235769334580774015194554840591502839124415196524116876599571395839342261582041931382768179445525586260937018201512745686189957536777874757287775745294281313752184489427176851597991753897466480947565997970913691745374336582956068432852161397150481662892150579088868334737114501103295498163701372247735039134019751589929567997311074753343814501701123464513028520853110974263953874216548324451716440162159621850300177/12495441264595158020520752847292772538452310738018413454236253043466817343169510973146355136598365447404734164040512232610235324997745959735205369516980355633165406266078849546727208297377694629202531883555953894820746526348397221969244929645624838121369810374015587854201134377234544359098855080870577439879079317938281648623095283897039652300062158193168678378631626718238885208621156193715636500401667087585736973006901328452336585296887516510751196321355208814571484928362957146318547321453436345911003274434513077151195818343955008508355897388644096694194569158123205290765034713658866596437320328003107556165771753486620368837960623219573235699831381795859677568814758153847955190612500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
294,25,0,6360141529187430152015493271894800110923040671124004108542561315467238125643711938280972566292617984778598433282910836149306505978226406381084969765710185594062069849995157914210803201707216014273375786749159415490259877462209980535789705066044113666095888187458762033284215481557854975500277795169954087826938412603553791001982578141571674675243241790679878070399712973234260222368947914081863492185472239566039008668854318062902748825603096334518200958417780682875206703499449892043872388458866332121294007870866931708699271706344194693323634348987966758656728865018252140200527221000216413446966714668015261342333190351948712671284581288345528745425302967995656233208242403425108844844301494765378730674351373752984900238821388888649099814721956728736994469232762145314662467714872140949438280900411400049842188740498212906767052273804764450234239765085130066015992423127729034274474757513909066996963334052628100394861069275786554444436456133271863329778895162853440156520044017089070319088378721386394933002900584581789700893604265103743186483576115138371529591584023/12495441264595158020520752847292772538452310738018413454236253043466817343169510973146355136598365447404734164040512232610235324997745959735205369516980355633165406266078849546727208297377694629202531883555953894820746526348397221969244929645624838121369810374015587854201134377234544359098855080870577439879079317938281648623095283897039652300062158193168678378631626718238885208621156193715636500401667087585736973006901328452336585296887516510751196321355208814571484928362957146318547321453436345911003274434513077151195818343955008508355897388644096694194569158123205290765034713658866596437320328003107556165771753486620368837960623219573235699831381795859677568814758153847955190612500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
