d,pobs,turn,risk
299,29,0,1
299,29,1,1
299,29,0,1
299,29,1,1
299,29,0,1
299,28,1,1
298,28,0,1
298,29,1,1
297,29,0,1
297,29,1,1
296,29,0,1
296,29,1,1
295,29,0,1
295,28,1,1
294,28,0,1
294,29,1,1
293,29,0,1
293,29,1,1
293,29,0,1
293,29,1,1
292,29,0,1
292,29,1,1
291,29,0,1
291,28,1,1
290,28,0,1
290,28,1,1
289,28,0,1
289,29,1,1
288,29,0,1
288,29,1,1
288,29,0,1
288,29,1,1
287,29,0,1
287,28,1,1
287,28,0,1
287,27,1,1
286,27,0,4400623899371868527155993684681338741524266185592759244372104722661685195747360523681911265737205361486782847008014699302005156489806198133902375383184975395954738453316341919485172739529349424976669186231981971893794920625330196470992673353373822080479939730197033712365594004520894266184365212021610358235168269170671314774963989521720783106632093118658874251929664201872375327941297897227929544740270591902720454542729796300217194953574453861345181600324614695354798335301398627965057162847688787965116064305807497098165426980529955792644379023107555631327761888715948810380900690614672083244532925930631446963836300767485694838288675646599976023862046683724890589868059453851827717779423947415588392944561879433721312457339560854275867490149176907834280649876743172780738945571490631660664063698144862179506748827685616371144346548335768749556437547175964950151492816972768327190748926618401405888002476161357095260382779854950971542998244845906218572029558923674733346934654677191046058812691714383597264894093018480219426027537956302161155093865885293860245466209548708958009025925917104239006902745172472713840390111891009176169655259553583969404998632932856127270429524855465344819574577454822608360151737274692366280684388061041549/6259390827801668282287436904617859681821776268932186927678318405764920191848441066461593018673823334211255750227850221641689461921183831606663861089255067044338836389998507368469942672181511241463413189824696945945614321661976396170641816801225848966934513744200368189456088973098743558699125027923241482977770186800035334465831837311793872188740733292328032621814813843497167591447793950231027332046321078969124684899447584755301183219787970908783753952516276100135995077377776529397853291575010503710678998111966450140564770421609356072163786143050556502826302392161670323228378177153564194091144198987647201173377003849021191683113565291226760936161911409759909139600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
286,27,1,1
286,27,0,4400623899371868527155993684681338741524266185592759244372104722661685195747360523681911265737205361486782847008014699302005156489806198133902375383184975395954738453316341919485172739529349424976669186231981971893794920625330196470992673353373822080479939730197033712365594004520894266184365212021610358235168269170671314774963989521720783106632093118658874251929664201872375327941297897227929544740270591902720454542729796300217194953574453861345181600324614695354798335301398627965057162847688787965116064305807497098165426980529955792644379023107555631327761888715948810380900690614672083244532925930631446963836300767485694838288675646599976023862046683724890589868059453851827717779423947415588392944561879433721312457339560854275867490149176907834280649876743172780738945571490631660664063698144862179506748827685616371144346548335768749556437547175964950151492816972768327190748926618401405888002476161357095260382779854950971542998244845906218572029558923674733346934654677191046058812691714383597264894093018480219426027537956302161155093865885293860245466209548708958009025925917104239006902745172472713840390111891009176169655259553583969404998632932856127270429524855465344819574577454822608360151737274692366280684388061041549/6259390827801668282287436904617859681821776268932186927678318405764920191848441066461593018673823334211255750227850221641689461921183831606663861089255067044338836389998507368469942672181511241463413189824696945945614321661976396170641816801225848966934513744200368189456088973098743558699125027923241482977770186800035334465831837311793872188740733292328032621814813843497167591447793950231027332046321078969124684899447584755301183219787970908783753952516276100135995077377776529397853291575010503710678998111966450140564770421609356072163786143050556502826302392161670323228378177153564194091144198987647201173377003849021191683113565291226760936161911409759909139600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
286,27,1,4757751454282431703782883941399708924009504710654325475357687067462306571248396320026866372302801642745902531899818969129975574958786624213230606616204986860780296073950860436797238681083462012926699442520587562569335535070142634702698632109501798128135806232138229672348679731249618807280596252511707837770361764736462456220252853868512233618356892056262551576000084713760101519178379533403904913261030287494383878829780257459973086342325854271619399236968296112739563835053244524687450977352684824403567984420014507054608296059224651925632316392695312374296617890012964457702330294526820135665266296158178494657766878320774377303529789743679837622797075226043234449627563836590737144614351296274119945623634474086943489123131880917337547786495819452782358372935973747329901552455479042961504162136774419277440207370733861736032017328539951942994453420815223975292478495293538885370300820052491993612944834083720218243633221233030843964806850819744313945256212507662793238540513559917734917174558482807840948703412371289846965561310092741487419584525385233729207503913975803657482320515783718221832276947155182487732232156712397415372040112941722508066580768402769471474098353576379432452540197812236824285200250366992617230600263938717098377/5397238768697991658000220849181715839815705775864755499479767121129938765099325760610106883072726556823610613411412382488763117731235583113763356217774101083657055921782474665303729721374753837868003689765112795256893389301414645795110970660129311440902662996971497760287994980385072060769036572708020354104265424111658795348473229197632232923061137068159941574056637119238573898895284130985238842569242941853077955025068731509213131726133932764226486356163081304607405612931921260989681866534050116739755400279962378233532343302749528729140189211519890892557959736944177528195208170634001043093659968752186352282595256345372134752840269510851827730993347281010537988921110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
285,27,0,1842351264472054549311988040949074453334277751888841665844849061528357274507577276681510758214430697202508148651112333975279986561990929060523385361879459071352345679101164676760617375534012387222269219278595125207100997298705467990583949228027435215922974369199513359622331083481137278139510056025849381311479616586110823837235621114799508967942864156359999391077456472573199186550168864461284071925669108783053196457629357913471380754431598906420277648985874915975255502406898814493855154895098098596260794108823221608046200704733160183975430875758750201790158720678537793255531259038721278701075714029870973639340030280236351690833878988938857861468986892531481421842665540009909061009807934921842810578827214156518915498508100800969131366768007925149781161489641194008439051641102405143617845028811019966988509023372331419699542624352981117654970653224279184252905387526457367848712439729177201558314728746401470990196259977679969790321155016043338868737235976802093788105817405369841823464120304714605182859898211425571795782772237186356002183462467663279402699464225204050446826547385788499293339547018302307990461659556455905087207409759477797645121066502802733250492727500225742075011758736034112827712442764614145766155146689847/2616802185535814499284045528686396188052582052229175136989263547560585364485134225109361629880360925673601902269168152860238069365043407862317667679454459466696837955684994719260009478336752191247246316816344877067564515744973409770335207692820170972798709759281090380207395055643287440927727854482960486194719977759212096348591905230683056935092279804484963470658366991428581768999913858792235506708328210271373196028197150817433605024994971115712271719279379640525081554087699217975691175407613086835568143023397345376490288637796553541874492534720132317235076250903708329108853752990620482479575334024936120891880018331530598529729751375930920123813508114448122550000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
