d,pobs,turn,risk
299,29,0,0.99609375
299,29,1,0.99609375
299,29,0,0.99609375
299,29,1,0.99609375
299,29,0,0.99609375
299,28,1,0.99609375
298,28,0,0.99609375
298,29,1,0.99609375
297,29,0,0.99609375
297,29,1,0.99609375
296,29,0,0.99609375
296,29,1,0.99609375
295,29,0,0.99609375
295,28,1,0.99609375
294,28,0,0.99609375
294,29,1,0.99609375
293,29,0,0.99609375
293,29,1,0.99609375
293,29,0,0.99609375
293,29,1,0.99609375
292,29,0,0.99609375
292,29,1,0.99609375
291,29,0,0.99609375
291,28,1,0.99609375
290,28,0,0.99609375
290,28,1,0.99609375
289,28,0,0.99609375
289,29,1,0.99609375
288,29,0,0.99609375
288,29,1,0.99609375
288,29,0,0.99609375
288,29,1,0.99609375
287,29,0,0.99609375
287,28,1,0.99609375
287,28,0,0.99609375
287,27,1,0.99609375
286,27,0,0.701171875
286,27,1,0.99609375
286,27,0,0.701171875
286,27,1,0.87890625
285,27,0,0.705078125
285,26,1,2.9133169938854806e-198
285,26,0,2.0445475764263575e-198
285,27,1,1.796327742866608e-198
285,27,0,2.05761177819266e-198
285,26,1,1.6787499269698846e-198
284,26,0,6.819513322009959e-198
284,25,1,1.0002279477325431e-199
284,25,0,7.042421264647497e-200
284,24,1,9.9193524153323e-202
284,24,0,6.985010221729175e-202
284,24,1,9.9193524153323e-202
284,24,0,6.985010221729175e-202
284,24,1,8.77113155696586e-202
284,24,0,7.0488002694162e-202
284,23,1,9.34424526665397e-204
283,23,0,2.2027500841925624e-203
283,22,1,2.795486708940646e-205
283,22,0,1.9700783770528786e-205
283,22,1,2.795486708940646e-205
282,22,0,6.634414139324318e-205
282,21,1,7.957208859885021e-207
282,21,0,5.6211475432215286e-207
282,21,1,7.957208859885021e-207
282,21,0,5.6211475432215286e-207
282,21,1,7.032517922039055e-207
281,21,0,1.9029166141988032e-206
281,20,1,2.152035653046121e-208
280,20,0,5.1557603277924734e-208
280,19,1,5.536929186834653e-210
279,19,0,1.3355168253223498e-209
279,18,1,1.347844215947545e-211
279,18,0,9.616849915438406e-212
279,18,1,1.347844215947545e-211
279,18,0,9.616849915438406e-212
279,17,1,9.079615177160416e-214
278,17,0,2.210436666132983e-213
278,16,1,1.9671290869047627e-215
277,16,0,4.768248385769148e-215
277,16,1,6.72631236167435e-215
277,16,0,4.768248385769148e-215
277,15,1,3.951821826371175e-217
276,15,0,9.716665852654574e-217
276,16,1,8.356899202720406e-217
275,16,0,3.365422458587065e-216
275,14,1,2.576120411008091e-218
274,14,0,2.5407098211660556e-218
274,13,1,4.550814085167859e-220
273,13,0,4.495485038539678e-220
273,12,1,7.413227731822642e-222
272,12,0,7.32677609646611e-222
272,11,1,1.1110385950116843e-223
272,11,0,3.1490683582018103e-224
272,10,1,4.339994511764392e-226
272,10,0,1.2235090910825147e-226
272,10,1,1.2367005637626496e-226
272,10,0,3.0999960798317083e-226
272,9,1,1.5201111096249235e-228
271,9,0,3.844077585695569e-228
271,7,1,4.607560032939356e-233
270,7,0,4.576109111212807e-233
270,8,1,1.6291577454352124e-232
270,8,0,1.1731193804002591e-232
270,8,1,3.192268555244673e-233
269,8,0,4.164102036595022e-232
269,8,1,1.1227979056377815e-232
269,8,0,4.164102036595022e-232
269,6,1,1.3808920320562702e-234
269,6,0,3.869937634321398e-235
269,5,1,2.812231465417087e-237
268,5,0,2.793035346199223e-237
268,3,1,2.2480806731736265e-242
267,3,0,5.81425424918521e-242
267,3,1,4.554743253140051e-242
266,3,0,2.0913740725028916e-241
266,3,1,1.646151580877626e-241
266,3,0,2.0913740725028916e-241
266,2,1,2.8718864462875623e-244
266,2,0,2.0766828286900102e-244
266,2,1,2.8718864462875623e-244
265,2,0,7.528690365168191e-244
265,2,1,9.382258509784068e-244
264,2,0,2.7368734579760355e-243
264,1,1,2.45819463623344e-246
263,1,0,2.45819463623344e-246
263,0,1,2.906884992420936e-249
262,0,0,1.0649848921181807e-248
262,0,1,6.686708421004315e-249
261,0,0,3.924731208986345e-248
261,1,1,3.2386015981626644e-249
260,1,0,1.446982751782866e-247
260,1,1,1.8069825628562575e-249
259,1,0,5.38568097574781e-247
259,0,1,5.22017184825141e-249
258,0,0,1.9933723777456623e-246
258,0,1,1.5293881401566005e-248
257,0,0,7.472911694149658e-246
257,1,1,7.856445925461989e-249
256,1,0,2.7960846625957093e-245
256,0,1,2.381376053851145e-248
255,0,0,1.0497831930154735e-244
255,0,1,7.290781818828726e-248
254,0,0,3.9702971986525264e-244
254,1,1,3.4777867296711738e-248
253,1,0,1.5057380730336383e-243
253,0,1,1.0978073773178886e-247
252,0,0,5.730042758170563e-243
252,0,1,3.9442850299563835e-247
251,0,0,2.1894987663808284e-242
251,0,1,1.6402862390866773e-246
250,0,0,8.406503624766525e-242
250,0,1,6.596900514691923e-246
249,0,0,3.2220048736038946e-241
249,0,1,2.5958535358625128e-245
248,0,0,1.2419364240073194e-240
248,0,1,9.868534103278974e-245
247,0,0,4.817776014639714e-240
247,0,1,3.627043838538475e-244
246,0,0,1.8821195014390168e-239
246,1,1,1.2071076497344136e-244
245,1,0,7.348514388088592e-239
