d,pobs,turn,risk
299,29,0,1.0
299,29,1,0.9866775424765659
298,29,0,1.0
298,29,1,0.9967134582086483
298,29,0,1.0
298,29,1,0.9967134582086483
297,29,0,1.0
297,28,1,0.9959048218710784
297,28,0,1.0
297,29,1,0.9967538707499054
297,29,0,1.0
297,28,1,0.9959048218710784
296,28,0,1.0
296,29,1,0.9967939695313806
296,29,0,1.0
296,27,1,0.9959662746997162
295,27,0,1.0
295,29,1,0.9777181850941034
295,29,0,0.6940133779264215
295,28,1,0.9777181850941034
295,28,0,0.6940133779264215
295,25,1,2.2229942625845195e-205
294,25,0,5.089969529294087e-205
294,25,1,4.138870295403063e-205
294,25,0,5.089969529294087e-205
294,24,1,7.05366246746631e-207
293,24,0,6.998024120757962e-207
293,26,1,2.0946344163967233e-206
293,26,0,1.6085609592864628e-206
293,23,1,1.9560363239948147e-208
292,23,0,4.8645579424053995e-208
292,24,1,1.6338189566064762e-208
292,24,0,4.8645579424053995e-208
292,21,1,5.026935498550326e-212
291,21,0,1.1847428470140672e-211
291,21,1,9.577669295517684e-212
291,21,0,1.1847428470140672e-211
291,22,1,3.934200775839633e-212
291,22,0,1.1847428470140672e-211
291,22,1,3.934200775839633e-212
290,22,0,3.870218884780743e-211
290,20,1,4.354383253698464e-213
290,20,0,1.3266976599930457e-213
290,21,1,4.2583280133183084e-213
289,21,0,1.014047788009269e-212
289,21,1,3.304157480372982e-213
288,21,0,3.3375563301832e-212
288,20,1,2.683557792398527e-212
287,20,0,1.1020817364257353e-211
287,19,1,1.1433198984813407e-213
286,19,0,2.7560774288139025e-213
286,17,1,1.8048048790137893e-217
285,17,0,1.8448344215773296e-217
285,18,1,6.018501228041807e-217
284,18,0,1.4717545893650357e-216
284,17,1,1.1745225705619763e-216
284,17,0,1.4717545893650357e-216
284,16,1,1.2626464803573626e-218
284,16,0,9.220660094130268e-219
284,16,1,1.2626464803573626e-218
284,16,0,9.220660094130268e-219
284,15,1,6.926156754013626e-221
284,15,0,5.402909321968668e-221
284,15,1,7.398564164950935e-221
283,15,0,1.816891502406735e-220
283,13,1,6.817484207691453e-225
282,13,0,6.990877076311367e-225
282,13,1,6.940063777401851e-225
281,13,0,5.723173069233494e-224
281,12,1,3.41411089695487e-226
281,12,0,2.6597034676777685e-226
281,12,1,3.625293265716991e-226
280,12,0,9.060867061526558e-226
280,12,1,1.1244655046437097e-225
280,12,0,9.076685149275431e-226
280,9,1,7.057857098211817e-233
280,9,0,5.192601598944063e-233
280,10,1,1.5382628215649997e-233
279,10,0,1.7799481266139907e-232
279,8,1,7.701226454487022e-235
278,8,0,7.725684653446567e-235
278,8,1,7.62948613745655e-235
278,8,0,1.9012982430288814e-234
278,8,1,2.3577843760345024e-234
277,8,0,6.575494770401708e-234
277,6,1,5.948514766608097e-239
277,6,0,1.7290959430863635e-239
277,6,1,1.7042425572735075e-239
276,6,0,1.485017161811328e-238
276,4,1,6.71054348181279e-244
275,4,0,6.981911648107525e-244
275,5,1,2.3549083580729935e-243
274,5,0,6.111641660970334e-243
274,3,1,1.1196157860678593e-245
274,3,0,3.218692392282862e-246
274,2,1,1.0997778673578298e-248
273,2,0,1.1078658857801418e-248
273,2,1,1.0873483355874331e-248
272,2,0,9.874455784022476e-248
272,1,1,8.046341916408696e-251
271,1,0,8.937316823002247e-251
271,0,1,1.0151061423445302e-253
270,0,0,3.4933882574789127e-253
270,1,1,6.968118889510448e-254
269,1,0,1.2882746641102762e-252
269,0,1,1.6301853710164092e-253
268,0,0,4.2941815761585966e-252
268,1,1,8.677264393089973e-254
267,1,0,1.4622365963053031e-251
267,1,1,4.091005666857765e-254
266,1,0,4.879264019219592e-251
266,0,1,6.544544997848138e-254
265,0,0,9.393452008072271e-251
265,1,1,2.1177295491819863e-254
264,1,0,2.549990221156294e-250
264,0,1,1.9268284944784014e-254
263,0,0,2.3185944634297875e-250
263,0,1,1.5238993409024095e-254
262,0,0,2.041143445816769e-250
262,0,1,1.1547767712830308e-254
261,0,0,1.8954524317126738e-250
261,1,1,2.794416118004578e-255
260,1,0,3.458709596609414e-250
260,0,1,2.1084922896716406e-255
259,0,0,3.120691277539801e-250
259,0,1,1.6022852501827997e-255
258,0,0,2.8705221839429395e-250
258,1,1,3.757431462776053e-256
257,1,0,5.3548285407883876e-250
257,0,1,2.856034500945996e-256
256,0,0,4.8217039635881606e-250
256,0,1,2.1872415878134538e-256
255,0,0,4.4344597717337405e-250
255,1,1,5.000639545264837e-257
254,1,0,8.451108502879691e-250
254,0,1,3.827244758307942e-257
253,0,0,7.617021708342824e-250
253,0,1,2.950549113528015e-257
252,0,0,7.017289294579591e-250
252,1,1,6.600984282448959e-258
251,1,0,1.3647201640687138e-249
251,0,1,5.08199668277625e-258
250,0,0,1.2329981823519065e-249
250,1,1,1.1418846746682765e-258
249,1,0,2.4670420077484e-249
249,0,1,8.783176828367015e-259
248,0,0,2.1936270423601807e-249
248,0,1,6.803943871997375e-259
247,0,0,2.0023721281440006e-249
247,0,1,5.306322188335279e-259
246,0,0,1.8666611738348354e-249
246,1,1,1.1417193693417797e-259
245,1,0,3.7592114579299795e-249
245,0,1,8.882752065393609e-260
244,0,0,3.4372395392904865e-249
244,0,1,6.956241164264143e-260
