start,turn,ax,ay,dx,dy,crash,done,risk
True,False,8,9,0,0,0,0,0
True,True,8,8,0,0,0,0,0
True,False,8,8,0,0,0,0,0
True,True,7,8,0,0,0,0,0
True,False,7,8,0,1,0,0,0
True,True,6,8,0,1,0,0,0
True,False,6,8,0,1,0,0,0
True,True,6,9,0,1,0,0,0
True,False,6,9,1,1,0,0,0
True,True,6,8,1,1,0,0,2775/1925126
True,False,6,8,2,1,0,0,755/285008
True,True,5,8,2,1,0,0,317/16748
True,False,5,8,2,1,0,0,347/60204
True,True,4,8,2,1,0,0,329/21648
True,False,4,8,3,1,0,0,241/3630
True,True,4,9,3,1,0,0,981/26732
True,False,4,9,3,1,0,0,3743/466996
True,True,4,8,3,1,0,0,201/8080
True,False,4,8,4,1,0,0,113/2652
True,True,5,8,4,1,0,0,486/7381
True,False,5,8,4,0,0,0,3775/1187542
True,True,5,9,4,0,0,0,2783/3872460
True,False,5,9,4,0,0,0,293/100156
True,True,4,9,4,0,0,0,243/59048
True,False,4,9,4,0,0,0,1443/520556
True,True,4,9,4,0,0,0,243/59048
True,False,4,9,4,0,0,0,1413/499136
True,True,4,8,4,0,0,0,353/31152
True,False,4,8,4,0,0,0,335/28056
True,True,4,9,4,0,0,0,243/59048
True,False,4,9,4,0,0,0,4157/1440040
True,True,4,8,4,0,0,0,353/31152
True,False,4,8,4,1,0,0,113/2652
True,True,3,8,4,1,0,0,486/7381
True,False,3,8,4,1,0,0,281/13160
True,True,3,9,4,1,0,0,653/53300
True,False,3,9,4,0,0,0,4805/11543868
True,True,4,9,4,0,0,0,1745/1522488
True,False,4,9,4,0,0,0,215/30816
True,True,4,8,4,0,0,0,353/31152
True,False,4,8,4,0,0,0,798/23585
True,True,5,8,4,0,0,0,851/90524
True,False,5,8,3,0,0,0,321/18400
True,True,6,8,3,0,0,0,1469/269742
True,False,6,8,3,0,0,0,1585/628044
True,True,6,7,3,0,0,0,2372/375089
True,False,6,7,3,0,0,0,313/16328
True,True,6,6,3,0,0,0,5665/382044
True,False,6,6,3,0,0,0,349/15225
True,True,6,5,3,0,0,0,271/9180
True,False,6,5,3,0,0,0,257/4128
True,True,6,6,3,0,0,0,5665/382044
True,False,6,6,3,0,0,0,349/15225
True,True,6,5,3,0,0,0,271/9180
True,False,6,5,3,0,0,0,257/4128
True,True,6,4,3,0,0,0,1775/33048
True,False,6,4,3,1,0,0,1577/13816
True,True,7,4,3,1,0,0,686/7353
True,False,7,4,3,2,0,0,1032/5635
True,True,7,3,3,2,0,0,1765/5192
True,False,7,3,3,3,0,0,5665/16046
True,True,6,3,3,3,0,0,729/1342
True,False,6,3,3,4,0,0,5343/13912
True,True,7,3,3,4,0,0,359/1074
True,False,7,3,3,4,0,0,271/2040
True,True,7,4,3,4,0,0,4381/23180
True,False,7,4,3,4,0,0,5323/32568
True,True,7,5,3,4,0,0,325/1956
True,False,7,5,3,4,0,0,2457/18632
True,True,7,6,3,4,0,0,1541/15222
True,False,7,6,4,4,0,0,254/1173
True,True,6,6,4,4,0,0,3079/10712
True,False,6,6,4,4,0,0,3037/13176
True,True,6,5,4,4,0,0,4733/13334
True,False,6,5,4,5,0,0,3305/5518
True,True,6,6,4,5,0,0,1457/2838
True,False,6,6,4,6,0,0,3305/5518
True,True,5,6,4,6,0,0,439/483
True,False,5,6,4,6,0,0,4573/7844
True,True,5,7,4,6,0,0,239/476
True,False,5,7,4,6,0,0,1381/2838
True,True,6,7,4,6,0,0,727/2025
True,False,6,7,5,6,0,0,771/1376
True,True,6,6,5,6,0,0,439/483
True,False,6,6,5,6,0,0,5599/9540
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
True,True,5,6,5,6,1,0,1
