start,turn,ax,ay,dx,dy,crash,done,risk
True,False,8,9,0,0,0,0,0
True,True,9,9,0,0,0,0,0
True,False,9,9,1,0,0,0,0
True,True,9,9,1,0,0,0,0
True,False,9,9,2,0,0,0,0
True,True,9,9,2,0,0,0,0
True,False,9,9,2,1,0,0,0
True,True,9,9,2,1,0,0,0
True,False,9,9,3,1,0,0,0
True,True,9,9,3,1,0,0,0
True,False,9,9,4,1,0,0,0
True,True,9,8,4,1,0,0,353003/2048000000
True,False,9,8,4,1,0,0,1654051/4096000000
True,True,9,9,4,1,0,0,0
True,False,9,9,4,2,0,0,369387/256000000
True,True,9,9,4,2,0,0,369387/256000000
True,False,9,9,4,3,0,0,8221061/2048000000
True,True,8,9,4,3,0,0,36844523/2048000000
True,False,8,9,4,4,0,0,116378911/4096000000
True,True,8,8,4,4,0,0,318911051/8192000000
True,False,8,8,4,4,0,0,835693113/32768000000
True,True,8,9,4,4,0,0,531629763/32768000000
True,False,8,9,4,5,0,0,192528113/4096000000
True,True,8,9,4,5,0,0,414936343/8192000000
True,False,8,9,4,5,0,0,131697519/4096000000
True,True,8,9,4,5,0,0,115358437/3276800000
True,False,8,9,5,5,0,0,900009653/8192000000
True,True,8,8,5,5,0,0,111121239/819200000
True,False,8,8,5,5,0,0,3221560011/32768000000
True,True,8,7,5,5,0,0,22730104211/131072000000
True,False,8,7,5,5,0,0,41773777973/262144000000
True,True,8,8,5,5,0,0,705510279/6553600000
True,False,8,8,6,5,0,0,4076976743/16384000000
True,True,7,8,6,5,0,0,1340111741/3276800000
True,False,7,8,6,5,0,0,7770041887/32768000000
True,True,7,7,6,5,0,0,2968074213/8192000000
True,False,7,7,5,5,0,0,9186826679/32768000000
True,True,8,7,5,5,0,0,654132779/4096000000
True,False,8,7,5,5,0,0,41773777973/262144000000
True,True,9,7,5,5,0,0,3526845331/26214400000
True,False,9,7,6,5,0,0,4434723771/16384000000
True,True,9,8,6,5,0,0,2911200717/16384000000
True,False,9,8,6,5,0,0,8081243067/65536000000
True,True,8,8,6,5,0,0,23926986111/131072000000
True,False,8,8,6,5,0,0,43993056153/262144000000
True,True,8,9,6,5,0,0,18490687659/131072000000
True,False,8,9,6,5,0,0,33476834089/262144000000
True,True,8,8,6,5,0,0,23926986111/131072000000
True,False,8,8,6,5,0,0,43993056153/262144000000
True,True,7,8,6,5,0,0,13648579499/52428800000
True,False,7,8,6,4,0,0,1712851619/16384000000
True,True,8,8,6,4,0,0,172675087/2048000000
True,False,8,8,6,4,0,0,6755018343/65536000000
True,True,7,8,6,4,0,0,23440325277/131072000000
True,False,7,8,6,4,0,0,9562106853/65536000000
True,True,8,8,6,4,0,0,7492517991/65536000000
True,False,8,8,7,4,0,0,4910297757/16384000000
True,True,9,8,7,4,0,0,2357818437/8192000000
True,False,9,8,7,4,0,0,56476347/409600000
True,True,9,8,7,4,0,0,5054474167/32768000000
True,False,9,8,6,4,0,0,500435351/4096000000
True,True,9,8,6,4,0,0,281695193/2048000000
True,False,9,8,6,5,0,0,2739771669/16384000000
True,True,8,8,6,5,0,0,2262062661/8192000000
True,False,8,8,6,5,0,0,43993056153/262144000000
True,True,9,8,6,5,0,0,8752709529/65536000000
True,False,9,8,6,5,0,0,8081243067/65536000000
True,True,9,8,6,5,0,0,8752709529/65536000000
True,False,9,8,6,5,0,0,8081243067/65536000000
True,True,9,8,6,5,0,0,8752709529/65536000000
True,False,9,8,6,5,0,0,8081243067/65536000000
True,True,9,9,6,5,0,0,6263343271/65536000000
True,False,9,9,6,5,0,0,571344211/6553600000
True,True,9,9,6,5,0,0,6263343271/65536000000
True,False,9,9,7,5,0,0,64526641/204800000
True,True,9,8,7,5,0,0,595259443/1638400000
True,False,9,8,8,5,0,0,289338241/512000000
True,True,9,9,8,5,0,0,453131451/819200000
True,False,9,9,8,5,0,0,72700259663/262144000000
True,True,8,9,8,5,0,0,4790731239/16384000000
True,False,8,9,8,5,0,0,67330848861/262144000000
True,True,9,9,8,5,0,0,2058342291/6553600000
True,False,9,9,8,5,0,0,72700259663/262144000000
True,True,8,9,8,5,0,0,4790731239/16384000000
True,False,8,9,9,5,0,0,1796128057/4096000000
True,True,9,9,9,5,0,0,5202539169/8192000000
True,False,9,9,9,5,0,0,41976098537/131072000000
True,True,9,8,9,5,0,0,5756966453/8192000000
True,False,9,8,9,5,0,0,199106490313/524288000000
True,True,9,8,9,5,0,0,5756966453/8192000000
True,False,9,8,9,5,0,0,199106490313/524288000000
True,True,8,8,9,5,0,0,414213751/819200000
True,False,8,8,9,4,0,0,1782116627/13107200000
True,True,8,9,9,4,0,0,773002101/6553600000
True,False,8,9,9,4,0,0,41373738333/262144000000
True,True,8,9,9,4,0,0,24083940771/131072000000
True,False,8,9,9,4,0,0,41373738333/262144000000
True,True,8,8,9,4,0,0,249766013001/1048576000000
True,False,8,8,9,4,0,0,51339311069/262144000000
True,True,8,9,9,4,0,0,831053395929/4194304000000
True,False,8,9,8,4,0,0,349220497/1024000000
True,True,8,8,8,4,0,0,3564452553/8192000000
True,False,8,8,7,4,0,0,4910297757/16384000000
True,True,8,7,7,4,0,0,1354871561/3276800000
True,False,8,7,7,4,0,0,31531514451/131072000000
True,True,7,7,7,4,0,0,80272154169/262144000000
True,False,7,7,7,3,0,0,68568951/655360000
True,True,6,7,7,3,0,0,726796537/6553600000
True,False,6,7,7,3,0,0,43413853/327680000
True,True,5,7,7,3,0,0,6645783547/65536000000
True,False,5,7,7,2,0,0,2233510037/65536000000
True,True,6,7,7,2,0,0,6630517/104857600
True,False,6,7,7,1,0,0,31977959/1310720000
True,True,6,8,7,1,0,0,36372577/3276800000
True,False,6,8,7,1,0,0,1402670759/65536000000
True,True,6,9,7,1,0,0,399881393/32768000000
True,False,6,9,8,1,0,0,304103/16000000
True,True,5,9,8,1,0,0,1507/200000
True,False,5,9,8,1,0,0,1321929/819200000
True,True,5,8,8,1,0,0,51677021/8192000000
True,False,5,8,8,2,0,0,20937079/819200000
True,True,6,8,8,2,0,0,13560503/163840000
True,False,6,8,8,2,0,0,479787847/16384000000
True,True,7,8,8,2,0,0,8012316121/131072000000
True,False,7,8,8,3,0,0,229851547/1024000000
True,True,6,8,8,3,0,0,318298163/2048000000
True,False,6,8,8,3,0,0,14231544923/262144000000
True,True,6,7,8,3,0,0,13489383953/131072000000
True,False,6,7,8,4,0,0,3633674819/16384000000
True,True,5,7,8,4,0,0,2029071103/16384000000
True,False,5,7,8,4,0,0,5808419711/65536000000
True,True,5,8,8,4,0,0,479875863/8192000000
True,False,5,8,8,4,0,0,428696687/8192000000
True,True,5,7,8,4,0,0,3207963443/32768000000
True,False,5,7,8,4,0,0,5808419711/65536000000
True,True,4,7,8,4,0,0,904388071/16384000000
True,False,4,7,7,4,0,0,930781687/8192000000
True,True,4,8,7,4,0,0,414097273/4096000000
True,False,4,8,6,4,0,0,1567264599/8192000000
True,True,5,8,6,4,0,0,1441341671/4096000000
True,False,5,8,6,4,0,0,9496526521/65536000000
True,True,4,8,6,4,0,0,1425493993/13107200000
True,False,4,8,6,4,0,0,6406474367/65536000000
True,True,5,8,6,4,0,0,23327055373/131072000000
True,False,5,8,6,4,0,0,9496526521/65536000000
True,True,6,8,6,4,0,0,53771072473/262144000000
True,False,6,8,5,4,0,0,4414569887/16384000000
True,True,7,8,5,4,0,0,1630533841/8192000000
True,False,7,8,4,4,0,0,722120289/8192000000
True,True,7,9,4,4,0,0,87055451/1024000000
True,False,7,9,3,4,0,0,115682767/4096000000
True,True,8,9,3,4,0,0,8850829/1024000000
True,False,8,9,3,4,0,0,16124767/3276800000
True,True,9,9,3,4,0,0,32031871/16384000000
True,False,9,9,3,4,0,0,28379897/16384000000
True,True,9,8,3,4,0,0,44438213/6553600000
True,False,9,8,4,4,0,0,116378911/4096000000
True,True,9,7,4,4,0,0,87055451/1024000000
True,False,9,7,5,4,0,0,875373071/8192000000
True,True,9,6,5,4,0,0,1912237237/8192000000
True,False,9,6,5,4,0,0,31732146713/262144000000
True,True,9,7,5,4,0,0,941597601/13107200000
True,False,9,7,5,4,0,0,4291977667/65536000000
True,True,9,8,5,4,0,0,115358437/3276800000
True,False,9,8,4,4,0,0,47313701/3276800000
