start,turn,ax,ay,dx,dy,crash,done,risk
True,False,8,9,0,0,0,0,0.0
True,True,8,8,0,0,0,0,0.0
True,False,8,8,0,0,0,0,0.0
True,True,7,8,0,0,0,0,0.0
True,False,7,8,0,1,0,0,0.0
True,True,6,8,0,1,0,0,0.0
True,False,6,8,0,1,0,0,0.0
True,True,6,9,0,1,0,0,0.0
True,False,6,9,1,1,0,0,0.0
True,True,6,8,1,1,0,0,0.001445770263671875
True,False,6,8,2,1,0,0,0.00266265869140625
True,True,5,8,2,1,0,0,0.01885986328125
True,False,5,8,2,1,0,0,0.0057830810546875
True,True,4,8,2,1,0,0,0.01519775390625
True,False,4,8,3,1,0,0,0.066162109375
True,True,4,9,3,1,0,0,0.0367431640625
True,False,4,9,3,1,0,0,0.008026123046875
True,True,4,8,3,1,0,0,0.0247802734375
True,False,4,8,4,1,0,0,0.0426025390625
True,True,5,8,4,1,0,0,0.065673828125
True,False,5,8,4,0,0,0,0.0031890869140625
True,True,5,9,4,0,0,0,0.0007190704345703125
True,False,5,9,4,0,0,0,0.00292205810546875
True,True,4,9,4,0,0,0,0.0041046142578125
True,False,4,9,4,0,0,0,0.00276947021484375
True,True,4,9,4,0,0,0,0.0041046142578125
True,False,4,9,4,0,0,0,0.00284576416015625
True,True,4,8,4,0,0,0,0.011383056640625
True,False,4,8,4,0,0,0,0.011932373046875
True,True,4,9,4,0,0,0,0.0041046142578125
True,False,4,9,4,0,0,0,0.00287628173828125
True,True,4,8,4,0,0,0,0.011383056640625
True,False,4,8,4,1,0,0,0.0426025390625
True,True,3,8,4,1,0,0,0.065673828125
True,False,3,8,4,1,0,0,0.02142333984375
True,True,3,9,4,1,0,0,0.012176513671875
True,False,3,9,4,0,0,0,0.0004177093505859375
True,True,4,9,4,0,0,0,0.001140594482421875
True,False,4,9,4,0,0,0,0.006927490234375
True,True,4,8,4,0,0,0,0.011383056640625
True,False,4,8,4,0,0,0,0.0340576171875
True,True,5,8,4,0,0,0,0.009429931640625
True,False,5,8,3,0,0,0,0.01751708984375
True,True,6,8,3,0,0,0,0.0054473876953125
