start,turn,ax,ay,dx,dy,crash,done,risk
True,False,8,9,0,0,0,0,0.0
True,True,8,8,0,0,0,0,0.0
True,False,8,8,0,0,0,0,0.0
True,True,8,7,0,0,0,0,0.0
True,False,8,7,0,0,0,0,0.0
True,True,8,6,0,0,0,0,0.0
True,False,8,6,0,0,0,0,0.0
True,True,8,5,0,0,0,0,0.0
True,False,8,5,0,0,0,0,0.0
True,True,8,6,0,0,0,0,0.0
True,False,8,6,0,0,0,0,0.0
True,True,7,6,0,0,0,0,0.0
True,False,7,6,0,1,0,0,0.0014139641176586664
True,True,8,6,0,1,0,0,0.0
True,False,8,6,0,2,0,0,0.0019595785187933494
True,True,8,5,0,2,0,0,0.0004894248949897569
True,False,8,5,0,3,0,0,0.011560170409289812
True,True,7,5,0,3,0,0,0.002093167535048679
True,False,7,5,1,3,0,0,0.0036892675240171053
True,True,8,5,1,3,0,0,8.388327923934474e-05
True,False,8,5,1,4,0,0,0.0006409059393215542
True,True,7,5,1,4,0,0,6.884419789420606e-05
True,False,7,5,2,4,0,0,4.935430827018782e-05
True,True,7,4,2,4,0,0,4.564123392467184e-06
True,False,7,4,2,4,0,0,5.404495852357654e-06
True,True,7,5,2,4,0,0,1.4930033309186159e-06
True,False,7,5,1,4,0,0,9.452221034145573e-08
True,True,8,5,1,4,0,0,1.0751232768918961e-08
True,False,8,5,0,4,0,0,2.037458752395721e-09
True,True,8,4,0,4,0,0,6.279787475713427e-10
True,False,8,4,0,4,0,0,1.6040252773170822e-09
True,True,8,3,0,4,0,0,3.760554083406225e-10
True,False,8,3,0,4,0,0,2.1720710876115234e-10
True,True,7,3,0,4,0,0,2.4259916183315037e-10
True,False,7,3,1,4,0,0,7.400497577681634e-11
True,True,6,3,1,4,0,0,1.055554719847751e-10
True,False,6,3,1,4,0,0,5.1914591661309567e-11
True,True,7,3,1,4,0,0,8.634386301220577e-12
True,False,7,3,1,4,0,0,5.8517746050816795e-12
True,True,7,2,1,4,0,0,1.289779860732666e-12
True,False,7,2,1,4,0,0,1.1271958214016469e-12
True,True,8,2,1,4,0,0,1.5133789619691525e-13
True,False,8,2,1,4,0,0,9.892390225816841e-14
True,True,8,1,1,4,0,0,1.9393161048178353e-14
True,False,8,1,2,4,0,0,7.259234399694328e-15
True,True,8,1,2,4,0,0,6.72784341973345e-15
True,False,8,1,3,4,0,0,2.513090758937339e-15
True,True,8,2,3,4,0,0,3.904276716960913e-15
True,False,8,2,3,4,0,0,1.3887436006189086e-15
True,True,8,1,3,4,0,0,2.621565873718058e-16
True,False,8,1,2,4,0,0,1.2770112940030947e-17
True,True,7,1,2,4,0,0,9.242951389213782e-18
True,False,7,1,1,4,0,0,2.0842113639034493e-18
True,True,7,2,1,4,0,0,1.1292367487154718e-18
True,False,7,2,0,4,0,0,2.908689850531066e-19
True,True,7,1,0,4,0,0,3.432435262045035e-20
True,False,7,1,0,4,0,0,8.727378435331688e-20
True,True,7,2,0,4,0,0,4.7965029765052084e-20
True,False,7,2,1,4,0,0,1.459356956895526e-20
True,True,8,2,1,4,0,0,7.056430598320707e-21
True,False,8,2,1,4,0,0,2.000268971958373e-21
True,True,7,2,1,4,0,0,
