start,turn,ax,ay,dx,dy,crash,done,risk
True,False,8,9,0,0,0,0,0.0
True,True,8,8,0,0,0,0,0.0
True,False,8,8,0,0,0,0,0.0
True,True,9,8,0,0,0,0,0.0
True,False,9,8,0,1,0,0,0.0
True,True,8,8,0,1,0,0,0.0
True,False,8,8,0,1,0,0,0.0
True,True,8,7,0,1,0,0,0.0
True,False,8,7,0,1,0,0,0.0
True,True,8,6,0,1,0,0,0.0
True,False,8,6,0,1,0,0,0.0
True,True,8,5,0,1,0,0,0.0003386183902272644
True,False,8,5,0,1,0,0,0.00033861839022726435
True,True,7,5,0,1,0,0,0.00048818885216130134
True,False,7,5,0,1,0,0,0.00036635568114961475
True,True,7,4,0,1,0,0,0.0005844083308827808
True,False,7,4,0,1,0,0,0.0005367291633849763
True,True,7,3,0,1,0,0,0.0003801617103152755
True,False,7,3,0,1,0,0,0.0002831596281293642
True,True,8,3,0,1,0,0,3.593209785127745e-05
True,False,8,3,1,1,0,0,0.029736855468749965
True,True,7,3,1,1,0,0,0.07860150888765118
True,False,7,3,2,1,0,0,0.10677198217773426
True,True,8,3,2,1,0,0,0.0829335310569723
True,False,8,3,2,2,0,0,0.09579810864257808
True,True,9,3,2,2,0,0,0.06943378344046562
True,False,9,3,2,2,0,0,0.027792003005981433
True,True,8,3,2,2,0,0,0.05903289819898621
True,False,8,3,2,2,0,0,0.04318522162628173
True,True,7,3,2,2,0,0,0.09865277220461599
True,False,7,3,2,2,0,0,0.08759551065063476
True,True,7,4,2,2,0,0,0.06158476298193659
True,False,7,4,1,2,0,0,0.011400091552734373
True,True,7,5,1,2,0,0,0.00701105706336144
True,False,7,5,0,2,0,0,0.001356692260742186
True,True,7,4,0,2,0,0,0.006083191683377848
True,False,7,4,0,2,0,0,0.009403149126520799
True,True,7,3,0,2,0,0,0.021345418550438748
True,False,7,3,0,1,0,0,0.028473855468749986
True,True,6,3,0,1,0,0,0.05884977500746542
True,False,6,3,0,0,0,0,0.019289650390624993
True,True,6,2,0,0,0,0,0.03453670189327779
True,False,6,2,0,0,0,0,0.015425779181593349
