start,turn,ax,ay,crash,done,see_dx,see_dy,risk
True,False,7,8,0,0,-1,-1,0
True,True,7,7,0,0,-1,-1,0
True,False,7,7,0,0,-1,-1,0
True,True,8,7,0,0,-1,-1,0
True,False,8,7,0,0,-1,-1,0
True,True,8,7,0,0,-1,-1,0
True,False,8,7,0,0,-1,-1,245/60024
True,True,8,6,0,0,-1,-1,265/35112
True,False,8,6,0,0,-1,-1,981/26732
True,True,7,6,0,0,-1,-1,362/4389
True,False,7,6,0,0,-1,-1,877/6072
True,True,7,5,0,0,-1,-1,4303/17018
True,False,7,5,0,0,-1,-1,377/987
True,True,7,6,0,0,-1,-1,2817/12322
True,False,7,6,0,0,-1,-1,229/690
True,True,8,6,0,0,-1,-1,1894/5605
True,False,8,6,0,0,-1,-1,249/620
True,True,8,7,0,0,-1,-1,1894/5605
True,False,8,7,0,0,-1,-1,1348/2607
True,True,8,7,0,0,-1,-1,3331/6952
True,False,8,7,0,0,-1,-1,3551/6588
True,True,7,7,0,0,-1,-1,311/496
True,False,7,7,0,0,-1,-1,2261/3726
True,True,6,7,0,0,-1,-1,557/962
True,False,6,7,0,0,-1,-1,2677/4816
True,True,6,6,0,0,-1,-1,289/540
True,False,6,6,0,0,-1,-1,542/1071
True,True,7,6,0,0,-1,-1,5599/9540
True,False,7,6,0,0,-1,-1,289/540
True,True,7,7,0,0,-1,-1,17389/28836
True,False,7,7,0,0,-1,-1,319/540
True,True,6,7,0,0,-1,-1,5599/9540
True,False,6,7,0,0,-1,-1,855/1562
True,True,6,6,0,0,-1,-1,289/540
True,False,6,6,0,0,-1,-1,239/476
True,True,6,5,0,0,3,2,1706/4779
True,False,6,5,0,0,-1,-1,249/1240
True,True,7,5,0,0,-1,-1,2295/16256
True,False,7,5,0,0,-1,-1,1097/5278
True,True,7,4,0,0,-1,-1,1465/3726
True,False,7,4,0,0,-1,-1,3037/6588
True,True,8,4,0,0,-1,-1,3299/7632
True,False,8,4,0,0,-1,-1,237/476
True,True,7,4,0,0,-1,-1,251/540
True,False,7,4,0,0,-1,-1,542/1071
True,True,8,4,0,0,-1,-1,3299/7632
True,False,8,4,0,0,-1,-1,17389/28836
