start,turn,ax,ay,crash,done,see_dx,see_dy,risk
True,False,7,8,0,0,-1,-1,0
True,True,7,7,0,0,-1,-1,0
True,False,7,7,0,0,-1,-1,0
True,True,6,7,0,0,-1,-1,128/78125
True,False,6,7,0,0,-1,-1,113/15625
True,True,5,7,0,0,-1,-1,8318/390625
True,False,5,7,0,0,-1,-1,59493/1000000
True,True,5,8,0,0,-1,-1,48392/1953125
True,False,5,8,0,0,-1,-1,277/3125
True,True,4,8,0,0,-1,-1,357021/2000000
True,False,4,8,0,0,-1,-1,24517117/80000000
True,True,4,8,0,0,-1,-1,615667/2000000
True,False,4,8,0,0,-1,-1,891772643/1953125000
True,True,4,8,0,0,-1,-1,43539441/100000000
True,False,4,8,0,0,-1,-1,86667199649/156250000000
True,True,5,8,0,0,-1,-1,877457029/2000000000
True,False,5,8,0,0,-1,-1,3257283180311/6250000000000
True,True,5,8,0,0,-1,-1,4071320573/6928000000
True,False,5,8,0,0,-1,-1,19751237302601/30767696000000
True,True,6,8,0,0,-1,-1,4035846361/6676000000
True,False,6,8,0,0,-1,-1,386690347394337/574948928000000
True,True,6,8,0,0,-1,-1,74313488213/109200000000
True,False,6,8,0,0,-1,-1,263380676249213/390007016000000
True,True,5,8,0,0,-1,-1,23457206981357/34025146000000
True,False,5,8,0,0,-1,-1,497764295001817/762769411200000
True,True,4,8,0,0,-1,-1,677752205593501/967362292000000
True,False,4,8,0,0,-1,-1,1359721832432681/2333660420000000
True,True,4,8,0,0,-1,-1,677752292754943/967362500000000
True,False,4,8,0,0,1,5,3810957/8000000
True,True,4,8,0,0,1,5,801279/1600000
True,False,4,8,0,0,2,5,39466911/64000000
True,True,4,8,0,0,2,5,43240207/64000000
True,False,4,8,0,0,2,6,618129/800000
True,True,3,8,0,0,2,6,5777647/6400000
True,False,3,8,0,0,2,6,27524539/32000000
True,True,2,8,0,0,2,6,60552489/64000000
True,False,2,8,0,0,2,5,2630819/3200000
True,True,3,8,0,0,2,5,25321181/32000000
True,False,3,8,0,0,-1,-1,18835081/32000000
True,True,3,8,0,0,-1,-1,20985667/32000000
True,False,3,8,0,0,-1,-1,10442801/16000000
