start,turn,ax,ay,crash,done,see_dx,see_dy,risk
True,False,7,8,0,0,-1,-1,0
True,True,7,7,0,0,-1,-1,0
True,False,7,7,0,0,-1,-1,0
True,True,8,7,0,0,-1,-1,0
True,False,8,7,0,0,-1,-1,0
True,True,8,7,0,0,-1,-1,0
True,False,8,7,0,0,-1,-1,7993/1953125
True,True,8,6,0,0,-1,-1,14784/1953125
True,False,8,6,0,0,-1,-1,1434131/39062500
True,True,7,6,0,0,-1,-1,10293/125000
True,False,7,6,0,0,-1,-1,1811411171/12500000000
True,True,7,5,0,0,-1,-1,792263259/3125000000
True,False,7,5,0,0,-1,-1,93623773093/245648000000
True,True,7,6,0,0,-1,-1,572791/2500000
True,False,7,6,0,0,-1,-1,137844075133/416240000000
True,True,8,6,0,0,-1,-1,7878344039/23336000000
True,False,8,6,0,0,-1,-1,2499811706937/6244816000000
True,True,8,7,0,0,-1,-1,250250144651/742050000000
True,False,8,7,0,0,-1,-1,16083267843647/31120400000000
True,True,8,7,0,0,-1,-1,148852699867/311220000000
True,False,8,7,0,0,-1,-1,334213787310141/621969728000000
True,True,7,7,0,0,-1,-1,1255036878061/1998767680000
True,False,7,7,0,0,-1,-1,53258371268653/87655690000000
True,True,6,7,0,0,-1,-1,29935219841231/51561640000000
True,False,6,7,0,0,-1,-1,142961245087417/257773680000000
True,True,6,6,0,0,-1,-1,16183057239373/30336328400000
True,False,6,6,0,0,-1,-1,10130826229351/20038998437500
True,True,7,6,0,0,-1,-1,49830733434187/85104756000000
True,False,7,6,0,0,-1,-1,23009796848213551/43047241512000000
True,True,7,7,0,0,-1,-1,2558950808595059/4248013984000000
True,False,7,7,0,0,-1,-1,21237295274707157/35872701260000000
True,True,6,7,0,0,-1,-1,21884980950168849/37387516072000000
True,False,6,7,0,0,-1,-1,188120855220775373/342973344200000000
True,True,6,6,0,0,-1,-1,83683683936404557/156869518644000000
True,False,6,6,0,0,-1,-1,14747213693896419/29352544610000000
True,True,6,5,0,0,3,2,5707253/16000000
True,False,6,5,0,0,-1,-1,3212429/16000000
True,True,7,5,0,0,-1,-1,35359/250000
True,False,7,5,0,0,-1,-1,16698853/80000000
