start,turn,ax,ay,crash,done,see_dx,see_dy,risk
True,False,7,8,0,0,-1,-1,0.0
True,True,7,7,0,0,-1,-1,0.0
True,False,7,7,0,0,-1,-1,0.0
True,True,8,7,0,0,-1,-1,0.0
True,False,8,7,0,0,-1,-1,0.0
True,True,7,7,0,0,-1,-1,0.001308441162109375
True,False,7,7,0,0,-1,-1,0.007171630859375
True,True,7,6,0,0,-1,-1,0.01861572265625
True,False,7,6,0,0,-1,-1,0.054931640625
True,True,7,5,0,0,-1,-1,0.14111328125
True,False,7,5,0,0,-1,-1,0.2099609375
True,True,7,4,0,0,-1,-1,0.392578125
True,False,7,4,0,0,-1,-1,0.451171875
True,True,6,4,0,0,-1,-1,0.521484375
True,False,6,4,0,0,-1,-1,0.490234375
True,True,6,3,0,0,-1,-1,0.537109375
True,False,6,3,0,0,-1,-1,0.505859375
True,True,6,2,0,0,-1,-1,0.583984375
True,False,6,2,0,0,-1,-1,0.544921875
True,True,7,2,0,0,-1,-1,0.458984375
True,False,7,2,0,0,-1,-1,0.583984375
True,True,6,2,0,0,-1,-1,0.583984375
True,False,6,2,0,0,-1,-1,0.501953125
True,True,7,2,0,0,-1,-1,0.458984375
True,False,7,2,0,0,-1,-1,0.501953125
True,True,8,2,0,0,-1,-1,0.537109375
True,False,8,2,0,0,-1,-1,0.685546875
True,True,7,2,0,0,-1,-1,0.646484375
True,False,7,2,0,0,-1,-1,0.607421875
True,True,6,2,0,0,-1,-1,0.591796875
True,False,6,2,0,0,-1,-1,0.548828125
True,True,6,3,0,0,-1,-1,0.537109375
True,False,6,3,0,0,-1,-1,0.505859375
True,True,6,4,0,0,-1,-1,0.521484375
True,False,6,4,0,0,-1,-1,0.498046875
True,True,6,3,0,0,-1,-1,0.533203125
True,False,6,3,0,0,-1,-1,0.505859375
True,True,6,2,0,0,-1,-1,0.583984375
True,False,6,2,0,0,-1,-1,0.552734375
True,True,5,2,0,0,-1,-1,0.572265625
True,False,5,2,0,0,-1,-1,0.541015625
True,True,5,1,0,0,-1,-1,0.630859375
True,False,5,1,0,0,-1,-1,0.638671875
True,True,4,1,0,0,-1,-1,0.701171875
True,False,4,1,0,0,1,0,0.556640625
True,True,4,2,0,0,1,0,0.541015625
True,False,4,2,0,0,2,0,0.638671875
True,True,5,2,0,0,2,0,0.541015625
True,False,5,2,0,0,2,1,0.642578125
True,True,6,2,0,0,-1,-1,0.548828125
True,False,6,2,0,0,3,1,0.658203125
True,True,5,2,0,0,3,1,0.82421875
True,False,5,2,0,0,4,1,0.88671875
True,True,5,3,0,0,4,1,0.80859375
True,False,5,3,0,0,5,1,0.80859375
True,True,6,3,0,0,5,1,0.82421875
True,False,6,3,0,0,5,0,0.626953125
True,True,6,2,0,0,5,0,0.83203125
True,False,6,2,0,0,6,0,0.82421875
True,True,6,3,0,0,6,0,0.736328125
True,False,6,3,0,0,5,0,0.626953125
True,True,5,3,0,0,5,0,0.724609375
True,False,5,3,0,0,4,0,0.615234375
True,True,6,3,0,0,4,0,0.560546875
True,False,6,3,0,0,4,1,0.662109375
True,True,7,3,0,0,4,1,0.595703125
True,False,7,3,0,0,-1,-1,0.400390625
True,True,6,3,0,0,3,1,0.560546875
True,False,6,3,0,0,-1,-1,0.3701171875
True,True,6,4,0,0,-1,-1,0.2685546875
True,False,6,4,0,0,-1,-1,0.3564453125
True,True,6,5,0,0,-1,-1,0.2392578125
True,False,6,5,0,0,-1,-1,0.2939453125
True,True,5,5,0,0,-1,-1,0.3408203125
True,False,5,5,0,0,-1,-1,0.3740234375
True,True,5,4,0,0,-1,-1,0.462890625
True,False,5,4,0,0,-1,-1,0.486328125
True,True,6,4,0,0,-1,-1,0.451171875
True,False,6,4,0,0,-1,-1,0.501953125
True,True,5,4,0,0,-1,-1,0.505859375
True,False,5,4,0,0,-1,-1,0.486328125
True,True,5,5,0,0,-1,-1,0.501953125
True,False,5,5,0,0,-1,-1,0.478515625
True,True,5,6,0,0,-1,-1,0.513671875
True,False,5,6,0,0,-1,-1,0.498046875
True,True,5,5,0,0,-1,-1,0.509765625
True,False,5,5,0,0,-1,-1,0.486328125
True,True,4,5,0,0,-1,-1,0.509765625
True,False,4,5,0,0,-1,-1,0.486328125
True,True,3,5,0,0,-1,-1,0.509765625
True,False,3,5,0,0,-1,-1,0.486328125
True,True,4,5,0,0,-1,-1,0.505859375
True,False,4,5,0,0,-1,-1,0.482421875
True,True,3,5,0,0,-1,-1,0.509765625
True,False,3,5,0,0,-1,-1,0.486328125
True,True,3,4,0,0,-1,-1,0.509765625
True,False,3,4,0,0,0,1,0.3740234375
True,True,3,3,0,0,0,1,0.552734375
True,False,3,3,0,0,1,1,0.650390625
True,True,4,3,0,0,1,1,0.552734375
True,False,4,3,0,0,1,0,0.3662109375
True,True,4,4,0,0,-1,-1,0.2685546875
True,False,4,4,0,0,-1,-1,0.3232421875
True,True,5,4,0,0,-1,-1,0.2412109375
True,False,5,4,0,0,-1,-1,0.3486328125
True,True,4,4,0,0,-1,-1,0.458984375
True,False,4,4,0,0,2,1,0.439453125
True,True,4,5,0,0,-1,-1,0.3486328125
True,False,4,5,0,0,2,2,0.435546875
