start,meter,ax,ay,fuelempty,fuelfull,risk
True,80,0,0,1,1,0
True,79,1,0,1,0,0
True,78,1,1,1,0,0
True,77,0,1,1,0,0
True,75,2,1,1,0,0
True,74,1,1,1,0,0
True,73,1,0,1,0,0
True,72,1,1,1,0,0
True,70,0,1,1,0,0
True,69,1,1,1,0,0
True,68,3,1,1,0,0
True,69,3,2,1,0,0
True,66,2,2,1,0,0
True,64,2,1,1,0,0
True,63,2,0,1,0,0
True,63,2,1,1,0,0
True,62,3,1,1,0,0
True,60,2,1,1,0,0
True,60,2,2,1,0,0
True,58,2,4,1,0,0
True,58,0,4,1,0,0
True,57,2,4,1,0,0
True,56,1,4,1,0,0
True,54,0,4,1,0,0
True,52,0,3,1,0,0
True,54,1,3,1,0,0
True,53,3,3,1,0,0
True,51,3,4,1,0,0
True,50,4,4,1,0,0
True,48,5,4,1,0,0
True,48,5,5,1,0,0
True,46,5,6,1,0,0
True,43,4,6,1,0,0
True,44,4,5,1,0,0
True,43,4,6,1,0,0
True,41,4,7,1,0,1406632794916079769/989299039094109816171181313005941100
True,40,2,7,1,0,8399304853288710/70547689436736239503631911920611
True,39,1,7,1,0,319055078330719/50897172818550574372156676480
True,37,2,7,1,0,301113802729/45334147646664929538816
True,35,0,7,1,0,780344827/304466588794790120
True,37,0,9,1,0,301113802729/45334147646664929538816
True,35,0,8,1,0,344019483/1183472794677599450
True,34,0,9,1,0,26971029/727430775667880
True,33,1,9,1,0,68411/1352523246448
True,31,2,9,1,0,58271/1697732880
True,31,2,8,1,0,234615/55043712416
True,29,1,8,1,0,3145/2472726
True,28,1,6,1,0,353/62304
True,27,0,6,1,0,349/16240
True,25,0,7,1,0,107/736
True,24,0,8,1,0,2135/7752
True,24,1,8,1,0,1421/5428
True,23,2,8,1,0,1465/3726
True,23,2,7,1,0,2135/7752
True,22,3,7,1,0,3567/7952
True,20,3,6,1,0,707/1562
True,19,3,7,1,0,707/1562
True,19,3,6,1,0,707/1562
True,18,4,6,1,0,707/1562
True,16,4,7,1,0,707/1562
True,14,4,6,1,0,707/1562
True,14,4,5,1,0,707/1562
True,14,4,4,1,0,707/1562
True,12,3,4,1,0,707/1562
True,10,1,4,1,0,707/1562
True,10,1,2,1,0,707/1562
True,9,0,2,1,0,707/1562
True,8,0,1,1,0,707/1562
True,8,0,3,1,0,707/1562
True,5,1,3,1,0,707/1562
True,5,3,3,1,0,707/1562
True,5,3,5,1,0,707/1562
True,4,3,4,1,0,707/1562
True,3,3,5,1,0,707/1562
True,3,2,5,1,0,3567/7952
True,1,3,5,1,0,3567/7952
True,127,3,3,1,0,0
True,126,5,3,1,0,0
True,124,5,2,1,0,0
True,122,3,2,1,0,0
True,122,3,3,1,0,0
True,121,3,1,1,0,0
True,120,3,2,1,0,0
True,118,2,2,1,0,0
True,118,0,2,1,0,0
True,116,0,4,1,0,0
True,115,0,3,1,0,0
True,112,2,3,1,0,0
True,113,2,4,1,0,0
True,112,3,4,1,0,0
True,111,5,4,1,0,0
True,108,4,4,1,0,0
True,107,6,4,1,0,0
True,107,6,3,1,0,0
True,106,6,4,1,0,0
True,103,6,5,1,0,0
True,103,4,5,1,0,0
True,102,3,5,1,0,0
True,100,3,6,1,0,0
True,100,4,6,1,0,0
True,98,4,7,1,0,0
True,98,4,6,1,0,0
True,96,4,4,1,0,0
True,95,5,4,1,0,0
True,94,5,5,1,0,0
True,92,5,3,1,0,0
True,91,5,5,1,0,0
True,90,6,5,1,0,0
True,89,6,3,1,0,0
True,89,6,2,1,0,0
True,86,8,2,1,0,0
True,87,7,2,1,0,0
True,86,7,1,1,0,0
True,84,8,1,1,0,0
True,83,10,1,1,0,0
True,82,10,2,1,0,0
True,82,10,4,1,0,0
True,82,10,3,1,0,0
True,79,9,3,1,1,0
True,80,9,4,1,0,0
True,77,10,4,1,0,0
True,77,11,4,1,0,0
True,76,9,4,1,0,0
True,74,9,5,1,0,0
True,73,7,5,1,0,0
True,71,7,3,1,0,0
True,72,7,4,1,0,0
True,69,7,3,1,0,0
True,68,8,3,1,0,0
True,66,8,4,1,0,0
True,66,9,4,1,0,0
True,63,9,5,1,0,0
True,61,11,5,1,0,0
True,61,12,5,1,0,0
True,59,12,3,1,0,0
True,57,14,3,1,0,0
True,58,16,3,1,0,0
True,56,16,4,1,0,0
True,56,14,4,1,0,0
True,54,14,3,1,0,0
True,53,15,3,1,0,0
True,51,15,4,1,0,0
True,50,14,4,1,0,0
True,49,14,5,1,0,0
True,49,14,7,1,0,0
True,46,14,6,1,0,0
True,47,16,6,1,0,0
True,46,16,8,1,0,0
True,45,14,8,1,0,0
True,45,16,8,1,0,0
True,42,16,7,1,0,0
True,41,15,7,1,0,1398745743095047881/978238074172590867513017161838233900
True,40,15,9,1,0,8399304853288710/70547689436736239503631911920611
True,38,13,9,1,0,8489080592643/36031921565855754658071364
True,39,13,10,1,0,124372110108695/177885248545801972331772330084
True,38,12,10,1,0,8489080592643/36031921565855754658071364
True,37,12,11,1,0,1344862592176/1808643002279156815694967
True,36,12,10,1,0,6831701222/46671208799727976563
True,34,12,12,1,0,54243867/1471187039980840
True,32,13,12,1,0,234615/55043712416
True,32,14,12,1,0,237722/56511091563
True,30,13,12,1,0,8677/37644684
True,29,12,12,1,0,3189/2542400
True,28,13,12,1,0,345/59512
True,27,13,13,1,0,287/13728
True,25,15,13,1,0,319/2120
True,25,15,14,1,0,877/6072
True,25,16,14,1,0,319/2120
True,23,15,14,1,0,2721/7316
True,21,15,13,1,0,707/1562
True,20,16,13,1,0,707/1562
True,20,14,13,1,0,707/1562
True,18,14,14,1,0,707/1562
True,18,14,13,1,0,707/1562
True,15,14,15,1,0,707/1562
True,15,13,15,1,0,707/1562
True,13,13,14,1,0,707/1562
True,14,15,14,1,0,707/1562
True,11,15,13,1,0,707/1562
True,11,15,12,1,0,707/1562
True,9,16,12,1,0,707/1562
True,9,17,12,1,0,707/1562
True,7,17,11,1,0,707/1562
True,6,17,12,1,0,707/1562
True,6,18,12,1,0,707/1562
True,3,16,12,1,0,707/1562
True,4,17,12,1,0,707/1562
True,2,17,13,1,0,707/1562
True,2,17,14,1,0,707/1562
True,1,17,13,0,0,1
True,1,17,13,0,0,1
True,1,17,13,0,0,1
True,1,17,13,0,0,1
True,1,17,13,0,0,1
True,1,17,13,0,0,1
True,1,17,13,0,0,1
True,1,17,13,0,0,1
True,1,17,13,0,0,1
True,1,17,13,0,0,1
True,1,17,13,0,0,1
True,1,17,13,0,0,1
True,1,17,13,0,0,1
True,1,17,13,0,0,1
True,1,17,13,0,0,1
True,1,17,13,0,0,1
True,1,17,13,0,0,1
