start,meter,ax,ay,fuelempty,fuelfull,risk
True,80,0,0,1,1,True
True,79,1,0,1,0,True
True,78,1,1,1,0,True
True,77,0,1,1,0,True
True,75,2,1,1,0,True
True,74,1,1,1,0,True
True,73,1,0,1,0,True
True,72,1,1,1,0,True
True,70,0,1,1,0,True
True,69,1,1,1,0,True
True,68,3,1,1,0,True
True,69,3,2,1,0,True
True,66,2,2,1,0,True
True,64,2,1,1,0,True
True,63,2,0,1,0,True
True,63,2,1,1,0,True
True,62,3,1,1,0,True
True,60,2,1,1,0,True
True,60,2,2,1,0,True
True,58,2,4,1,0,True
True,58,0,4,1,0,True
True,57,2,4,1,0,True
True,56,1,4,1,0,True
True,54,0,4,1,0,True
True,52,0,3,1,0,True
True,54,1,3,1,0,True
True,53,3,3,1,0,True
True,51,3,4,1,0,True
True,50,4,4,1,0,True
True,48,5,4,1,0,True
True,48,5,5,1,0,True
True,46,5,6,1,0,True
True,43,4,6,1,0,True
True,44,4,5,1,0,True
True,43,4,6,1,0,True
True,41,4,7,1,0,True
True,40,2,7,1,0,True
True,39,1,7,1,0,True
True,37,2,7,1,0,True
True,35,0,7,1,0,True
True,37,0,9,1,0,True
True,35,0,8,1,0,True
True,34,0,9,1,0,True
True,33,1,9,1,0,True
True,31,2,9,1,0,True
True,31,2,8,1,0,True
True,29,1,8,1,0,True
True,28,1,6,1,0,True
True,27,0,6,1,0,True
True,25,0,7,1,0,False
True,24,0,8,1,0,False
True,24,1,8,1,0,False
True,23,2,8,1,0,False
True,23,2,7,1,0,False
True,22,3,7,1,0,False
True,20,3,6,1,0,False
True,19,3,7,1,0,False
True,19,3,6,1,0,False
True,18,4,6,1,0,False
True,16,4,7,1,0,False
True,14,4,6,1,0,False
True,14,4,5,1,0,False
True,14,4,4,1,0,False
True,12,3,4,1,0,False
True,10,1,4,1,0,False
True,10,1,2,1,0,False
True,9,0,2,1,0,False
True,8,0,1,1,0,False
True,8,0,3,1,0,False
True,5,1,3,1,0,False
True,5,3,3,1,0,False
True,5,3,5,1,0,False
True,4,3,4,1,0,False
True,3,3,5,1,0,False
True,3,2,5,1,0,False
True,1,3,5,1,0,False
True,127,3,3,1,0,True
True,126,5,3,1,0,True
True,124,5,2,1,0,True
True,122,3,2,1,0,True
True,122,3,3,1,0,True
True,121,3,1,1,0,True
True,120,3,2,1,0,True
True,118,2,2,1,0,True
True,118,0,2,1,0,True
True,116,0,4,1,0,True
True,115,0,3,1,0,True
True,112,2,3,1,0,True
True,113,2,4,1,0,True
True,112,3,4,1,0,True
True,111,5,4,1,0,True
True,108,4,4,1,0,True
True,107,6,4,1,0,True
True,107,6,3,1,0,True
True,106,6,4,1,0,True
True,103,6,5,1,0,True
True,103,4,5,1,0,True
True,102,3,5,1,0,True
True,100,3,6,1,0,True
True,100,4,6,1,0,True
True,98,4,7,1,0,True
True,98,4,6,1,0,True
True,96,4,4,1,0,True
True,95,5,4,1,0,True
True,94,5,5,1,0,True
True,92,5,3,1,0,True
True,91,5,5,1,0,True
True,90,6,5,1,0,True
True,89,6,3,1,0,True
True,89,6,2,1,0,True
True,86,8,2,1,0,True
True,87,7,2,1,0,True
True,86,7,1,1,0,True
True,84,8,1,1,0,True
True,83,10,1,1,0,True
True,82,10,2,1,0,True
True,82,10,4,1,0,True
True,82,10,3,1,0,True
True,79,9,3,1,1,True
True,80,9,4,1,0,True
True,77,10,4,1,0,True
True,77,11,4,1,0,True
True,76,9,4,1,0,True
True,74,9,5,1,0,True
True,73,7,5,1,0,True
True,71,7,3,1,0,True
True,72,7,4,1,0,True
True,69,7,3,1,0,True
True,68,8,3,1,0,True
True,66,8,4,1,0,True
True,66,9,4,1,0,True
True,63,9,5,1,0,True
True,61,11,5,1,0,True
True,61,12,5,1,0,True
True,59,12,3,1,0,True
True,57,14,3,1,0,True
True,58,16,3,1,0,True
True,56,16,4,1,0,True
True,56,14,4,1,0,True
True,54,14,3,1,0,True
True,53,15,3,1,0,True
True,51,15,4,1,0,True
True,50,14,4,1,0,True
True,49,14,5,1,0,True
True,49,14,7,1,0,True
True,46,14,6,1,0,True
True,47,16,6,1,0,True
True,46,16,8,1,0,True
True,45,14,8,1,0,True
True,45,16,8,1,0,True
True,42,16,7,1,0,True
True,41,15,7,1,0,True
True,40,15,9,1,0,True
True,38,13,9,1,0,True
True,39,13,10,1,0,True
True,38,12,10,1,0,True
True,37,12,11,1,0,True
True,36,12,10,1,0,True
True,34,12,12,1,0,True
True,32,13,12,1,0,True
True,32,14,12,1,0,True
True,30,13,12,1,0,True
True,29,12,12,1,0,True
True,28,13,12,1,0,True
True,27,13,13,1,0,True
True,25,15,13,1,0,False
True,25,15,14,1,0,False
True,25,16,14,1,0,False
True,23,15,14,1,0,False
True,21,15,13,1,0,False
True,20,16,13,1,0,False
True,20,14,13,1,0,False
True,18,14,14,1,0,False
True,18,14,13,1,0,False
True,15,14,15,1,0,False
True,15,13,15,1,0,False
True,13,13,14,1,0,False
True,14,15,14,1,0,False
True,11,15,13,1,0,False
True,11,15,12,1,0,False
True,9,16,12,1,0,False
True,9,17,12,1,0,False
True,7,17,11,1,0,False
True,6,17,12,1,0,False
True,6,18,12,1,0,False
True,3,16,12,1,0,False
True,4,17,12,1,0,False
True,2,17,13,1,0,False
True,2,17,14,1,0,False
True,1,17,13,0,0,False
True,1,17,13,0,0,False
True,1,17,13,0,0,False
True,1,17,13,0,0,False
True,1,17,13,0,0,False
True,1,17,13,0,0,False
True,1,17,13,0,0,False
True,1,17,13,0,0,False
True,1,17,13,0,0,False
True,1,17,13,0,0,False
True,1,17,13,0,0,False
True,1,17,13,0,0,False
True,1,17,13,0,0,False
True,1,17,13,0,0,False
True,1,17,13,0,0,False
True,1,17,13,0,0,False
True,1,17,13,0,0,False
True,1,17,13,0,0,False
True,1,17,13,0,0,False
True,1,17,13,0,0,False
True,1,17,13,0,0,False
True,1,17,13,0,0,False
True,1,17,13,0,0,False
True,1,17,13,0,0,False
True,1,17,13,0,0,False
True,1,17,13,0,0,False
True,1,17,13,0,0,False
True,1,17,13,0,0,False
True,1,17,13,0,0,False
True,1,17,13,0,0,False
True,1,17,13,0,0,False
True,1,17,13,0,0,False
True,1,17,13,0,0,False
True,1,17,13,0,0,False
True,1,17,13,0,0,False
True,1,17,13,0,0,False
True,1,17,13,0,0,False
True,1,17,13,0,0,False
True,1,17,13,0,0,False
True,1,17,13,0,0,False
True,1,17,13,0,0,False
True,1,17,13,0,0,False
True,1,17,13,0,0,False
True,1,17,13,0,0,False
True,1,17,13,0,0,False
True,1,17,13,0,0,False
True,1,17,13,0,0,False
True,1,17,13,0,0,False
True,1,17,13,0,0,False
True,1,17,13,0,0,False
True,1,17,13,0,0,False
True,1,17,13,0,0,False
True,1,17,13,0,0,False
True,1,17,13,0,0,False
True,1,17,13,0,0,False
True,1,17,13,0,0,False
True,1,17,13,0,0,False
True,1,17,13,0,0,False
True,1,17,13,0,0,False
True,1,17,13,0,0,False
True,1,17,13,0,0,False
