start,meter,ax,ay,fuelempty,fuelfull,risk
True,80,0,0,1,1,0
True,79,1,0,1,0,0
True,78,1,1,1,0,0
True,77,0,1,1,0,0
True,75,2,1,1,0,0
True,74,1,1,1,0,0
True,73,1,0,1,0,0
True,72,1,1,1,0,0
True,70,0,1,1,0,0
True,69,1,1,1,0,0
True,68,3,1,1,0,0
True,69,3,2,1,0,0
True,66,2,2,1,0,0
True,64,2,1,1,0,0
True,63,2,0,1,0,0
True,63,2,1,1,0,0
True,62,3,1,1,0,0
True,60,2,1,1,0,0
True,60,2,2,1,0,0
True,58,2,4,1,0,0
True,58,0,4,1,0,0
True,57,2,4,1,0,0
True,56,1,4,1,0,0
True,54,0,4,1,0,0
True,52,0,3,1,0,0
True,54,1,3,1,0,0
True,53,3,3,1,0,0
True,51,3,4,1,0,0
True,50,4,4,1,0,0
True,48,5,4,1,0,0
True,48,5,5,1,0,0
True,46,5,6,1,0,0
True,43,4,6,1,0,0
True,44,4,5,1,0,0
True,43,4,6,1,0,0
True,41,4,7,1,0,891/625000000000000000000
True,40,2,7,1,0,2386431/20000000000000000000000
True,39,1,7,1,0,31452183/5000000000000000000000
True,37,2,7,1,0,132985929213/20000000000000000000000
True,35,0,7,1,0,25677785343969/10000000000000000000000
True,37,0,9,1,0,132985929213/20000000000000000000000
True,35,0,8,1,0,2918501201961/10000000000000000000000
True,34,0,9,1,0,92632860121689/2500000000000000000000
True,33,1,9,1,0,126602595606357/2500000000000000000000
True,31,2,9,1,0,343964453805937071/10000000000000000000000
True,31,2,8,1,0,42566038895053557/10000000000000000000000
True,29,1,8,1,0,12753081794312200719/10000000000000000000000
True,28,1,6,1,0,3539281964791601997/625000000000000000000
True,27,0,6,1,0,21452352560292978243/1000000000000000000000
True,25,0,7,1,0,182122073472867051807/1250000000000000000000
True,24,0,8,1,0,5517165003040054506879/20000000000000000000000
True,24,1,8,1,0,5244808639710808161711/20000000000000000000000
True,23,2,8,1,0,7864957446021173814489/20000000000000000000000
True,23,2,7,1,0,5517165003040054506879/20000000000000000000000
True,22,3,7,1,0,8983341091599820694901/20000000000000000000000
True,20,3,6,1,0,908181818181818181819/2000000000000000000000
True,19,3,7,1,0,908181818181818181891/2000000000000000000000
True,19,3,6,1,0,908181818181818181891/2000000000000000000000
True,18,4,6,1,0,9081818181818181891/20000000000000000000
True,16,4,7,1,0,9081818181818189181/20000000000000000000
True,14,4,6,1,0,908181818181891/2000000000000000
True,14,4,5,1,0,90818181818189181/200000000000000000
True,14,4,4,1,0,908181818181891/2000000000000000
True,12,3,4,1,0,908181818189181/2000000000000000
True,10,1,4,1,0,90818181891/200000000000
True,10,1,2,1,0,9081818189181/20000000000000
True,9,0,2,1,0,90818181891/200000000000
True,8,0,1,1,0,90818189181/200000000000
True,8,0,3,1,0,908181891/2000000000
True,5,1,3,1,0,908189181/2000000000
True,5,3,3,1,0,9081891/20000000
True,5,3,5,1,0,9081891/20000000
True,4,3,4,1,0,90891/200000
True,3,3,5,1,0,90891/200000
True,3,2,5,1,0,9009/20000
True,1,3,5,1,0,9/20
True,127,3,3,1,0,0
True,126,5,3,1,0,0
True,124,5,2,1,0,0
True,122,3,2,1,0,0
True,122,3,3,1,0,0
True,121,3,1,1,0,0
True,120,3,2,1,0,0
True,118,2,2,1,0,0
True,118,0,2,1,0,0
True,116,0,4,1,0,0
True,115,0,3,1,0,0
True,112,2,3,1,0,0
True,113,2,4,1,0,0
True,112,3,4,1,0,0
True,111,5,4,1,0,0
True,108,4,4,1,0,0
True,107,6,4,1,0,0
True,107,6,3,1,0,0
True,106,6,4,1,0,0
True,103,6,5,1,0,0
True,103,4,5,1,0,0
True,102,3,5,1,0,0
True,100,3,6,1,0,0
True,100,4,6,1,0,0
True,98,4,7,1,0,0
True,98,4,6,1,0,0
True,96,4,4,1,0,0
True,95,5,4,1,0,0
True,94,5,5,1,0,0
True,92,5,3,1,0,0
True,91,5,5,1,0,0
True,90,6,5,1,0,0
True,89,6,3,1,0,0
True,89,6,2,1,0,0
True,86,8,2,1,0,0
True,87,7,2,1,0,0
True,86,7,1,1,0,0
True,84,8,1,1,0,0
True,83,10,1,1,0,0
True,82,10,2,1,0,0
True,82,10,4,1,0,0
True,82,10,3,1,0,0
True,79,9,3,1,1,0
True,80,9,4,1,0,0
True,77,10,4,1,0,0
True,77,11,4,1,0,0
True,76,9,4,1,0,0
True,74,9,5,1,0,0
True,73,7,5,1,0,0
True,71,7,3,1,0,0
True,72,7,4,1,0,0
True,69,7,3,1,0,0
True,68,8,3,1,0,0
True,66,8,4,1,0,0
True,66,9,4,1,0,0
True,63,9,5,1,0,0
True,61,11,5,1,0,0
True,61,12,5,1,0,0
True,59,12,3,1,0,0
True,57,14,3,1,0,0
True,58,16,3,1,0,0
True,56,16,4,1,0,0
True,56,14,4,1,0,0
True,54,14,3,1,0,0
True,53,15,3,1,0,0
True,51,15,4,1,0,0
True,50,14,4,1,0,0
True,49,14,5,1,0,0
True,49,14,7,1,0,0
True,46,14,6,1,0,0
True,47,16,6,1,0,0
True,46,16,8,1,0,0
True,45,14,8,1,0,0
True,45,16,8,1,0,0
True,42,16,7,1,0,0
True,41,15,7,1,0,2853/2000000000000000000000
True,40,15,9,1,0,2383263/20000000000000000000000
True,38,13,9,1,0,4718257461/20000000000000000000000
True,39,13,10,1,0,7003629/10000000000000000000000
True,38,12,10,1,0,4718257461/20000000000000000000000
True,37,12,11,1,0,3710986389/5000000000000000000000
True,36,12,10,1,0,1464793188813/10000000000000000000000
True,34,12,12,1,0,73537305993801/2000000000000000000000
True,32,13,12,1,0,42566038895053557/10000000000000000000000
True,32,14,12,1,0,42088151208489849/10000000000000000000000
True,30,13,12,1,0,2303999132565215799/10000000000000000000000
True,29,12,12,1,0,3134742334077145797/2500000000000000000000
True,28,13,12,1,0,226483760961704259/39062500000000000000
True,27,13,13,1,0,104812343795889499617/5000000000000000000000
True,25,15,13,1,0,1502155926795650264307/10000000000000000000000
True,25,15,14,1,0,720063580292269167843/5000000000000000000000
True,25,16,14,1,0,1502155926795650264307/10000000000000000000000
True,23,15,14,1,0,927996977532100849839/2500000000000000000000
True,21,15,13,1,0,9081818181818181818109/20000000000000000000000
True,20,16,13,1,0,9081818181818181818919/20000000000000000000000
True,20,14,13,1,0,908181818181818181891/2000000000000000000000
True,18,14,14,1,0,90818181818181818919/200000000000000000000
True,18,14,13,1,0,9081818181818181891/20000000000000000000
True,15,14,15,1,0,9081818181818189181/20000000000000000000
True,15,13,15,1,0,90818181818181891/200000000000000000
True,13,13,14,1,0,90818181818181819/200000000000000000
