start,meter,ax,ay,fuelempty,fuelfull,risk
True,80,0,0,1,1,0
True,80,0,2,1,0,0
True,77,0,3,1,0,0
True,77,0,1,1,0,0
True,76,0,2,1,0,0
True,74,0,3,1,0,0
True,74,0,4,1,0,0
True,71,0,5,1,0,0
True,71,0,4,1,0,0
True,70,1,4,1,0,0
True,68,1,5,1,0,0
True,65,0,5,1,0,0
True,65,0,7,1,0,0
True,65,0,6,1,0,0
True,63,1,6,1,0,0
True,62,2,6,1,0,0
True,61,2,7,1,0,0
True,59,4,7,1,0,0
True,57,5,7,1,0,0
True,55,3,7,1,0,0
True,54,3,6,1,0,0
True,54,3,8,1,0,0
True,53,5,8,1,0,0
True,51,6,8,1,0,0
True,50,6,10,1,0,0
True,49,6,9,1,0,0
True,46,8,9,1,0,0
True,47,7,9,1,0,0
True,45,6,9,1,0,0
True,44,6,11,1,0,0
True,43,4,11,1,0,0
True,41,6,11,1,0,2853/2000000000000000000000
True,40,5,11,1,0,2383281/20000000000000000000000
True,39,5,10,1,0,126073521/20000000000000000000000
True,39,5,8,1,0,31452183/5000000000000000000000
True,37,5,9,1,0,132985929213/20000000000000000000000
True,37,7,9,1,0,26492699277/4000000000000000000000
True,36,6,9,1,0,1464793188813/10000000000000000000000
True,35,7,9,1,0,51341375248731/20000000000000000000000
True,33,7,8,1,0,136484776455003/312500000000000000000
True,34,7,10,1,0,2644417208223/625000000000000000000
True,32,6,10,1,0,42566038895053557/10000000000000000000000
True,29,7,10,1,0,2266781171468099877/10000000000000000000000
True,29,9,10,1,0,12753081794312200719/10000000000000000000000
True,26,8,10,1,0,208487468680251958413/10000000000000000000000
True,26,8,9,1,0,637987003915752509859/10000000000000000000000
True,27,8,7,1,0,21452352560292978243/1000000000000000000000
True,26,8,6,1,0,637987003915752509859/10000000000000000000000
True,23,8,7,1,0,1502155926795650264307/10000000000000000000000
True,22,8,8,1,0,8983341091599820694901/20000000000000000000000
True,21,10,8,1,0,9081818181818181818181/20000000000000000000000
True,20,10,9,1,0,908181818181818181891/2000000000000000000000
True,20,10,8,1,0,9081818181818181818271/20000000000000000000000
True,18,10,9,1,0,9081818181818181891/20000000000000000000
True,18,12,9,1,0,90818181818181818271/200000000000000000000
True,16,10,9,1,0,90818181818181891/200000000000000000
True,15,11,9,1,0,908181818181818181/2000000000000000000
True,15,13,9,1,0,90818181818181891/200000000000000000
True,15,14,9,1,0,9081818181818109/20000000000000000
True,11,13,9,1,0,908181818181891/2000000000000000
True,11,13,8,1,0,9081818181891/20000000000000
True,10,11,8,1,0,9081818189181/20000000000000
True,8,10,8,1,0,908181891/2000000000
True,8,9,8,1,0,90818189181/200000000000
