start,meter,ax,ay,fuelempty,fuelfull,risk
True,80,0,0,1,1,0.0
True,79,1,0,1,0,0.0
True,78,1,1,1,0,0.0
True,77,0,1,1,0,0.0
True,75,2,1,1,0,0.0
True,74,1,1,1,0,0.0
True,73,1,0,1,0,0.0
True,72,1,1,1,0,0.0
True,70,0,1,1,0,0.0
True,69,1,1,1,0,0.0
True,68,3,1,1,0,0.0
True,69,3,2,1,0,0.0
True,66,2,2,1,0,0.0
True,64,2,1,1,0,0.0
True,63,2,0,1,0,0.0
True,63,2,1,1,0,0.0
True,62,3,1,1,0,0.0
True,60,2,1,1,0,0.0
True,60,2,2,1,0,0.0
True,58,2,4,1,0,0.0
True,58,0,4,1,0,0.0
True,57,2,4,1,0,0.0
True,56,1,4,1,0,0.0
True,54,0,4,1,0,0.0
True,52,0,3,1,0,0.0
True,54,1,3,1,0,0.0
True,53,3,3,1,0,0.0
True,51,3,4,1,0,0.0
True,50,4,4,1,0,0.0
True,48,5,4,1,0,0.0
True,48,5,5,1,0,0.0
True,46,5,6,1,0,0.0
True,43,4,6,1,0,0.0
True,44,4,5,1,0,0.0
True,43,4,6,1,0,0.0
True,41,4,7,1,0,1.429791614965259e-18
True,40,2,7,1,0,1.192622389734055e-16
True,39,1,7,1,0,6.300515664747763e-15
True,37,2,7,1,0,6.622258297284134e-12
True,35,0,7,1,0,2.5684130378067493e-09
True,37,0,9,1,0,6.622258297284134e-12
True,35,0,8,1,0,2.9194779926910996e-10
True,34,0,9,1,0,3.7136487662792206e-08
True,33,1,9,1,0,5.052424967288971e-08
True,31,2,9,1,0,3.445148468017578e-05
True,31,2,8,1,0,4.246830940246582e-06
True,29,1,8,1,0,0.001277923583984375
True,28,1,6,1,0,0.0056610107421875
True,27,0,6,1,0,0.02142333984375
True,25,0,7,1,0,0.14599609375
True,24,0,8,1,0,0.2763671875
True,24,1,8,1,0,0.2626953125
True,23,2,8,1,0,0.392578125
True,23,2,7,1,0,0.2763671875
True,22,3,7,1,0,0.447265625
True,20,3,6,1,0,0.455078125
True,19,3,7,1,0,0.455078125
True,19,3,6,1,0,0.455078125
