start,meter,ax,ay,fuelempty,fuelfull,risk
True,80,0,0,1,1,True
True,79,1,0,1,0,True
True,78,1,1,1,0,True
True,77,0,1,1,0,True
True,75,2,1,1,0,True
True,74,1,1,1,0,True
True,73,1,0,1,0,True
True,72,1,1,1,0,True
True,70,0,1,1,0,True
True,69,1,1,1,0,True
True,68,3,1,1,0,True
True,69,3,2,1,0,True
True,66,2,2,1,0,True
True,64,2,1,1,0,True
True,63,2,0,1,0,True
True,63,2,1,1,0,True
True,62,3,1,1,0,True
True,60,2,1,1,0,True
True,60,2,2,1,0,True
True,58,2,4,1,0,True
True,58,0,4,1,0,True
True,57,2,4,1,0,True
True,56,1,4,1,0,True
True,54,0,4,1,0,True
True,52,0,3,1,0,True
True,54,1,3,1,0,True
True,53,3,3,1,0,True
True,51,3,4,1,0,True
True,50,4,4,1,0,True
True,48,5,4,1,0,True
True,48,5,5,1,0,True
True,46,5,6,1,0,True
True,43,4,6,1,0,True
True,44,4,5,1,0,True
True,43,4,6,1,0,True
True,41,4,7,1,0,
