start,meter,ax,ay,fuelempty,fuelfull,risk
True,80,0,0,1,1,True
True,79,1,0,1,0,True
True,76,0,0,1,0,True
True,80,0,0,1,1,True
True,78,0,1,1,0,True
True,77,0,3,1,0,True
True,75,1,3,1,0,True
True,75,1,1,1,0,True
True,72,0,1,1,0,True
True,71,0,0,1,0,True
True,80,0,0,1,1,True
True,78,1,0,1,0,True
True,77,0,0,1,0,True
True,80,0,0,1,1,True
True,80,1,0,1,0,True
True,78,3,0,1,0,True
True,76,1,0,1,0,True
True,75,0,0,1,0,True
True,80,0,0,1,1,True
True,79,1,0,1,0,True
True,77,0,0,1,0,True
True,80,0,0,1,1,True
True,78,1,0,1,0,True
True,75,1,1,1,0,True
True,75,1,3,1,0,True
True,74,0,3,1,0,True
True,74,1,3,1,0,True
True,72,1,5,1,0,True
True,71,0,5,1,0,True
True,72,0,4,1,0,True
True,70,0,5,1,0,True
True,67,0,6,1,0,True
True,67,0,5,1,0,True
True,67,0,6,1,0,True
True,65,0,7,1,0,True
True,65,0,6,1,0,True
True,63,0,7,1,0,True
True,63,0,8,1,0,True
True,61,0,7,1,0,True
True,61,2,7,1,0,True
True,58,2,8,1,0,True
True,57,1,8,1,0,True
True,56,1,6,1,0,True
True,56,3,6,1,0,True
True,55,5,6,1,0,True
True,53,4,6,1,0,True
True,53,3,6,1,0,True
True,52,1,6,1,0,True
True,50,1,8,1,0,True
True,48,1,6,1,0,True
True,48,0,6,1,0,True
True,47,1,6,1,0,True
True,46,2,6,1,0,True
True,44,2,4,1,0,True
True,43,1,4,1,0,True
True,43,1,5,1,0,True
True,40,1,6,1,0,True
True,39,1,4,1,0,True
True,37,2,4,1,0,True
True,37,2,3,1,0,True
True,37,2,4,1,0,True
True,35,1,4,1,0,True
True,35,2,4,1,0,True
True,33,0,4,1,0,True
True,33,0,3,1,0,True
True,31,0,4,1,0,True
True,31,0,3,1,0,True
True,28,0,4,1,0,True
True,28,0,3,1,0,True
True,27,0,5,1,0,True
True,26,1,5,1,0,False
True,25,0,5,1,0,False
True,23,0,6,1,0,False
True,24,1,6,1,0,False
True,21,1,5,1,0,False
True,19,1,6,1,0,False
True,20,1,8,1,0,False
True,18,1,9,1,0,False
True,17,0,9,1,0,False
True,16,0,8,1,0,False
True,14,1,8,1,0,False
True,13,0,8,1,0,False
True,13,0,7,1,0,False
True,13,2,7,1,0,False
True,10,3,7,1,0,False
True,10,3,9,1,0,False
True,8,4,9,1,0,False
True,7,4,8,1,0,False
True,6,5,8,1,0,False
True,5,5,7,1,0,False
True,5,3,7,1,0,False
True,4,5,7,1,0,False
True,3,5,6,1,0,False
True,1,7,6,1,0,False
True,1,7,4,0,0,False
True,1,7,4,0,0,False
True,1,7,4,0,0,False
True,1,7,4,0,0,False
True,1,7,4,0,0,False
True,1,7,4,0,0,False
True,1,7,4,0,0,False
True,1,7,4,0,0,False
True,1,7,4,0,0,False
True,1,7,4,0,0,False
True,1,7,4,0,0,False
True,1,7,4,0,0,False
True,1,7,4,0,0,False
True,1,7,4,0,0,False
True,1,7,4,0,0,False
True,1,7,4,0,0,False
True,1,7,4,0,0,False
True,1,7,4,0,0,False
True,1,7,4,0,0,False
True,1,7,4,0,0,False
True,1,7,4,0,0,False
True,1,7,4,0,0,False
True,1,7,4,0,0,False
True,1,7,4,0,0,False
True,1,7,4,0,0,False
True,1,7,4,0,0,False
True,1,7,4,0,0,False
True,1,7,4,0,0,False
True,1,7,4,0,0,False
True,1,7,4,0,0,False
True,1,7,4,0,0,False
True,1,7,4,0,0,False
True,1,7,4,0,0,False
True,1,7,4,0,0,False
True,1,7,4,0,0,False
True,1,7,4,0,0,False
True,1,7,4,0,0,False
True,1,7,4,0,0,False
True,1,7,4,0,0,False
True,1,7,4,0,0,False
True,1,7,4,0,0,False
True,1,7,4,0,0,False
True,1,7,4,0,0,False
True,1,7,4,0,0,False
True,1,7,4,0,0,False
True,1,7,4,0,0,False
True,1,7,4,0,0,False
True,1,7,4,0,0,False
True,1,7,4,0,0,False
True,1,7,4,0,0,False
True,1,7,4,0,0,False
True,1,7,4,0,0,False
True,1,7,4,0,0,False
True,1,7,4,0,0,False
True,1,7,4,0,0,False
True,1,7,4,0,0,False
True,1,7,4,0,0,False
True,1,7,4,0,0,False
True,1,7,4,0,0,False
True,1,7,4,0,0,False
True,1,7,4,0,0,False
True,1,7,4,0,0,False
True,1,7,4,0,0,False
True,1,7,4,0,0,False
True,1,7,4,0,0,False
True,1,7,4,0,0,False
True,1,7,4,0,0,False
True,1,7,4,0,0,False
True,1,7,4,0,0,False
True,1,7,4,0,0,False
True,1,7,4,0,0,False
True,1,7,4,0,0,False
True,1,7,4,0,0,False
True,1,7,4,0,0,False
True,1,7,4,0,0,False
True,1,7,4,0,0,False
True,1,7,4,0,0,False
True,1,7,4,0,0,False
True,1,7,4,0,0,False
True,1,7,4,0,0,False
True,1,7,4,0,0,False
True,1,7,4,0,0,False
True,1,7,4,0,0,False
True,1,7,4,0,0,False
True,1,7,4,0,0,False
True,1,7,4,0,0,False
True,1,7,4,0,0,False
True,1,7,4,0,0,False
True,1,7,4,0,0,False
True,1,7,4,0,0,False
True,1,7,4,0,0,False
True,1,7,4,0,0,False
True,1,7,4,0,0,False
True,1,7,4,0,0,False
True,1,7,4,0,0,False
True,1,7,4,0,0,False
True,1,7,4,0,0,False
True,1,7,4,0,0,False
True,1,7,4,0,0,False
True,1,7,4,0,0,False
True,1,7,4,0,0,False
True,1,7,4,0,0,False
True,1,7,4,0,0,False
True,1,7,4,0,0,False
True,1,7,4,0,0,False
True,1,7,4,0,0,False
True,1,7,4,0,0,False
True,1,7,4,0,0,False
True,1,7,4,0,0,False
True,1,7,4,0,0,False
True,1,7,4,0,0,False
True,1,7,4,0,0,False
True,1,7,4,0,0,False
True,1,7,4,0,0,False
True,1,7,4,0,0,False
True,1,7,4,0,0,False
True,1,7,4,0,0,False
True,1,7,4,0,0,False
True,1,7,4,0,0,False
True,1,7,4,0,0,False
True,1,7,4,0,0,False
True,1,7,4,0,0,False
True,1,7,4,0,0,False
True,1,7,4,0,0,False
True,1,7,4,0,0,False
True,1,7,4,0,0,False
True,1,7,4,0,0,False
True,1,7,4,0,0,False
True,1,7,4,0,0,False
True,1,7,4,0,0,False
True,1,7,4,0,0,False
True,1,7,4,0,0,False
True,1,7,4,0,0,False
True,1,7,4,0,0,False
True,1,7,4,0,0,False
True,1,7,4,0,0,False
True,1,7,4,0,0,False
True,1,7,4,0,0,False
True,1,7,4,0,0,False
True,1,7,4,0,0,False
True,1,7,4,0,0,False
True,1,7,4,0,0,False
True,1,7,4,0,0,False
True,1,7,4,0,0,False
True,1,7,4,0,0,False
True,1,7,4,0,0,False
True,1,7,4,0,0,False
True,1,7,4,0,0,False
True,1,7,4,0,0,False
True,1,7,4,0,0,False
True,1,7,4,0,0,False
True,1,7,4,0,0,False
True,1,7,4,0,0,False
True,1,7,4,0,0,False
True,1,7,4,0,0,False
True,1,7,4,0,0,False
