start,meter,ax,ay,fuelempty,fuelfull,risk
True,80,0,0,1,1,0.0
True,79,0,1,1,0,0.0
True,77,0,2,1,0,0.0
True,77,0,1,1,0,0.0
True,76,2,1,1,0,0.0
True,73,2,0,1,0,0.0
True,73,2,1,1,0,0.0
True,71,2,0,1,0,0.0
True,71,2,1,1,0,0.0
True,70,3,1,1,0,0.0
True,68,3,3,1,0,0.0
True,68,2,3,1,0,0.0
True,64,2,5,1,0,0.0
True,64,3,5,1,0,0.0
True,63,3,4,1,0,0.0
True,63,3,3,1,0,0.0
True,61,3,2,1,0,0.0
True,60,3,3,1,0,0.0
True,59,4,3,1,0,0.0
True,56,4,4,1,0,0.0
True,56,4,3,1,0,0.0
True,55,3,3,1,0,0.0
True,54,3,5,1,0,0.0
True,52,3,6,1,0,0.0
True,52,3,5,1,0,0.0
True,50,1,5,1,0,0.0
True,50,1,4,1,0,0.0
True,48,1,2,1,0,0.0
True,47,1,1,1,0,0.0
True,47,0,1,1,0,0.0
True,44,1,1,1,0,0.0
True,44,1,0,1,0,0.0
True,43,1,2,1,0,0.0
True,40,2,2,1,0,1.4264999999999903e-18
True,40,4,2,1,0,1.1916314999999943e-16
True,37,4,3,1,0,2.359128730499985e-13
True,37,4,2,1,0,6.623174819249985e-12
True,36,4,3,1,0,1.4647931888129978e-10
True,34,5,3,1,0,3.678411080250715e-08
True,33,5,5,1,0,4.367512846560041e-07
True,32,5,4,1,0,4.212615218011479e-06
True,31,5,3,1,0,3.439644538059348e-05
True,30,4,3,1,0,0.00022709765758384908
True,29,5,3,1,0,0.0012753081794312116
True,28,6,3,1,0,0.005684262389466915
True,26,6,1,1,0,0.06379870039157491
True,25,6,2,1,0,0.14569765877829344
True,24,4,2,1,0,0.27585825015200144
True,24,5,2,1,0,0.26224043198554003
True,22,3,2,1,0,0.44916705457998857
True,21,5,2,1,0,0.4540909090909032
True,21,5,1,1,0,0.45409090909090827
True,19,6,1,1,0,0.4540909090909083
True,18,8,1,1,0,0.4540909090909078
True,16,6,1,1,0,0.4540909090909086
True,17,7,1,1,0,0.45409090909090816
True,16,7,0,1,0,0.4540909090909087
True,14,8,0,1,0,0.4540909090909448
True,11,7,0,1,0,0.4540909090945899
True,10,7,1,1,0,0.45409090945499864
True,10,7,3,1,0,0.4540909094590489
True,10,7,2,1,0,0.4540909094549995
True,8,5,2,1,0,0.454090945904999
True,8,4,2,1,0,0.45409094549999934
True,5,3,2,1,0,0.45409459049999973
True,5,3,3,1,0,0.4540945499999994
True,3,3,4,1,0,0.4540909499999951
True,2,2,4,1,0,0.4544549999999997
True,1,2,3,1,0,0.45445499999999966
True,1,1,3,1,0,0.4544999999999996
True,127,1,2,1,0,0.0
True,126,0,2,1,0,0.0
True,124,1,2,1,0,0.0
True,122,2,2,1,0,0.0
True,123,0,2,1,0,0.0
True,121,0,1,1,0,0.0
True,120,0,0,1,0,0.0
True,121,0,2,1,0,0.0
True,119,0,0,1,0,0.0
True,118,1,0,1,0,0.0
True,116,0,0,1,0,0.0
True,115,0,1,1,0,0.0
True,113,0,0,1,0,0.0
True,114,0,1,1,0,0.0
True,113,0,0,1,0,0.0
True,113,0,2,1,0,0.0
True,111,0,4,1,0,0.0
True,109,1,4,1,0,0.0
True,108,1,3,1,0,0.0
True,107,0,3,1,0,0.0
True,106,0,2,1,0,0.0
True,105,0,1,1,0,0.0
True,105,1,1,1,0,0.0
True,103,2,1,1,0,0.0
True,103,1,1,1,0,0.0
True,101,1,0,1,0,0.0
True,100,0,0,1,0,0.0
True,100,1,0,1,0,0.0
True,99,1,2,1,0,0.0
True,97,1,3,1,0,0.0
True,95,1,1,1,0,0.0
True,95,3,1,1,0,0.0
True,94,4,1,1,0,0.0
True,94,4,2,1,0,0.0
True,93,4,3,1,0,0.0
True,90,4,1,1,0,0.0
True,91,5,1,1,0,0.0
True,90,6,1,1,0,0.0
True,87,5,1,1,0,0.0
True,88,5,2,1,0,0.0
True,86,5,0,1,0,0.0
True,85,4,0,1,0,0.0
True,84,4,1,1,0,0.0
True,82,4,0,1,0,0.0
True,81,4,1,1,0,0.0
True,81,4,0,1,0,0.0
True,78,2,0,1,1,0.0
True,78,1,0,1,0,0.0
True,76,3,0,1,0,0.0
True,77,5,0,1,0,0.0
True,74,5,1,1,0,0.0
True,73,5,0,1,0,0.0
True,73,5,1,1,0,0.0
True,73,3,1,1,0,0.0
True,70,3,0,1,0,0.0
True,70,1,0,1,0,0.0
True,70,1,2,1,0,0.0
True,69,1,1,1,0,0.0
True,68,2,1,1,0,0.0
True,65,1,1,1,0,0.0
True,66,1,2,1,0,0.0
True,66,2,2,1,0,0.0
True,64,1,2,1,0,0.0
True,62,2,2,1,0,0.0
True,62,4,2,1,0,0.0
True,61,4,4,1,0,0.0
True,59,3,4,1,0,0.0
True,58,5,4,1,0,0.0
True,56,4,4,1,0,0.0
True,55,4,6,1,0,0.0
True,56,3,6,1,0,0.0
True,52,4,6,1,0,0.0
True,51,5,6,1,0,0.0
True,50,5,8,1,0,0.0
True,49,5,10,1,0,0.0
True,47,5,9,1,0,0.0
True,47,5,8,1,0,0.0
True,45,3,8,1,0,0.0
True,44,4,8,1,0,0.0
True,43,3,8,1,0,0.0
True,43,3,10,1,0,0.0
True,42,3,11,1,0,8.099999999999982e-21
True,39,2,11,1,0,1.1932154999999936e-16
True,38,1,11,1,0,2.3522717609999954e-13
True,37,3,11,1,0,6.649296460649915e-12
True,36,3,10,1,0,1.4576954692094977e-10
True,35,3,8,1,0,2.5832363400035863e-09
True,35,4,8,1,0,2.5670687624365442e-09
True,33,4,9,1,0,4.367512846560069e-07
True,32,4,11,1,0,4.212615218011474e-06
True,32,4,13,1,0,4.256603889505345e-06
True,29,4,12,1,0,0.00022667811714680955
True,28,2,12,1,0,0.005797984280619599
True,27,4,12,1,0,0.02096246875917785
True,24,3,12,1,0,0.15021559267956455
True,23,3,13,1,0,0.3802986752780305
True,23,3,14,1,0,0.39324787230105795
True,21,4,14,1,0,0.4540909090909061
True,21,5,14,1,0,0.45409090909090827
True,18,4,14,1,0,0.45409090909090843
True,16,6,14,1,0,0.4540909090909079
True,15,6,12,1,0,0.4540909090909079
True,16,7,12,1,0,0.45409090909090855
True,14,7,14,1,0,0.4540909090909439
True,13,7,13,1,0,0.454090909090945
True,12,5,13,1,0,0.4540909090945894
True,12,7,13,1,0,0.4540909090945481
True,10,7,12,1,0,0.45409090945904956
True,9,5,12,1,0,0.4540909094549989
True,9,3,12,1,0,0.4540909094549989
True,8,2,12,1,0,0.45409094549999934
True,8,1,12,1,0,0.454090945499998
True,6,0,12,1,0,0.4540913549999994
True,5,0,11,1,0,0.4540945499999981
True,3,1,11,1,0,0.4540904999999981
True,3,1,10,1,0,0.45445499999999817
True,1,2,10,1,0,0.4544999999999996
True,0,2,11,0,0,0.9999999999999992
True,0,2,11,0,0,0.9999999999999992
True,0,2,11,0,0,0.9999999999999992
True,0,2,11,0,0,0.9999999999999992
True,0,2,11,0,0,0.9999999999999992
True,0,2,11,0,0,0.9999999999999992
True,0,2,11,0,0,0.9999999999999992
True,0,2,11,0,0,0.9999999999999992
True,0,2,11,0,0,0.9999999999999992
True,0,2,11,0,0,0.9999999999999992
True,0,2,11,0,0,0.9999999999999992
True,0,2,11,0,0,0.9999999999999992
True,0,2,11,0,0,0.9999999999999992
True,0,2,11,0,0,0.9999999999999992
True,0,2,11,0,0,0.9999999999999992
True,0,2,11,0,0,0.9999999999999992
True,0,2,11,0,0,0.9999999999999992
True,0,2,11,0,0,0.9999999999999992
True,0,2,11,0,0,0.9999999999999992
True,0,2,11,0,0,0.9999999999999992
True,0,2,11,0,0,0.9999999999999992
True,0,2,11,0,0,0.9999999999999992
True,0,2,11,0,0,0.9999999999999992
True,0,2,11,0,0,0.9999999999999992
True,0,2,11,0,0,0.9999999999999992
True,0,2,11,0,0,0.9999999999999992
True,0,2,11,0,0,0.9999999999999992
True,0,2,11,0,0,0.9999999999999992
True,0,2,11,0,0,0.9999999999999992
True,0,2,11,0,0,0.9999999999999992
True,0,2,11,0,0,0.9999999999999992
True,0,2,11,0,0,0.9999999999999992
True,0,2,11,0,0,0.9999999999999992
True,0,2,11,0,0,0.9999999999999992
True,0,2,11,0,0,0.9999999999999992
True,0,2,11,0,0,0.9999999999999992
True,0,2,11,0,0,0.9999999999999992
True,0,2,11,0,0,0.9999999999999992
True,0,2,11,0,0,0.9999999999999992
True,0,2,11,0,0,0.9999999999999992
